,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.64082,0.75894,0,0,0,0,0,0,0,0.24985,0,0,0,0,0,0,0,0,0.0001305,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.1689350894977664
1,0,0,0.37875,0.77094,0,0,0,0,0,0,0,0.68333,0,0,0,0,0,0,0,0,0.017659,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.2615129479236047
2,0,0,0.24059,0.88302,0,0,0,0,0,0,0,0.5440699999999999,0,0,0,0,0,0,0,0,0.7548199999999999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.154874427516801
3,0,0,0.48123,0.8617799999999999,0,0,0,0,0,0,0,0.59329,0,0,0,0,0,0,0,0,0.43328,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.4566410020529
4,0,0,1.0894,0.00024515,0,0,0,0,0,0,0,0.31434,0,0,0,0,0,0,0,0,0.41741999999999996,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.372875429720195
5,0,0,0.82935,1.3130000000000002,0,0,0,0,0,0,0,0.81003,0,0,0,0,0,0,0,0,0.18325,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1360920707574462
6,0,0,0.41266,0.38245,0,0,0,0,0,0,0,0.7842,0,0,0,0,0,0,0,0,0.6199100000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4423389064950465
7,0,0,1.3564,0.068377,0,0,0,0,0,0,0,0.28136,0,0,0,0,0,0,0,0,0.59507,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.311144907961354
8,0,0,0.5408,0.87165,0,0,0,0,0,0,0,0.69692,0,0,0,0,0,0,0,0,0.012514,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.234339311753885
9,0,0,0.34983000000000003,0.38073,0,0,0,0,0,0,0,0.41595,0,0,0,0,0,0,0,0,0.9469700000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.169726553855326
10,0,0,0.13085,1.3477,0,0,0,0,0,0,0,2.9991999999999997e-05,0,0,0,0,0,0,0,0,0.63576,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.526051663208372
11,0,0,5.8628999999999995e-08,1.0164,0,0,0,0,0,0,0,0.24349,0,0,0,0,0,0,0,0,0.45268,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.559103303645235
12,0,0,0.30769,0.71973,0,0,0,0,0,0,0,0.033842000000000004,0,0,0,0,0,0,0,0,0.28184000000000003,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6568012622001485
13,0,0,0.08285,0.55867,0,0,0,0,0,0,0,0.0013038,0,0,0,0,0,0,0,0,0.9689700000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.285920916485806
