,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,1.3849e-09,0.33482,0,0,0.6957300000000001,1.2747e-07,0,5.8569e-11,9.9653e-06,0,0,0.012245,0.12468,2.3234e-09,0,1.141,0,0,4.3429000000000005e-08,6.294900000000001e-10,0.30371,0,0.55435,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,40.1980419128659
1,0,0,0.00728,0.44942,0,0,0.008801,0.28572,0,0.00068038,0.030978,0,0,0.17419,9.4542e-05,5.5956999999999996e-08,0,1.0116,0,0,2.8954e-08,8.685800000000001e-08,0.56657,0,0.10069,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,36.51014680455387
2,0,0,0.031327999999999995,0.44518,0,0,1.1839e-07,0.23861999999999997,0,1.9237000000000003e-11,0.00012251,0,0,5.8664e-12,0.31545,7.768399999999999e-13,0,0.74964,0,0,0.0054967,0.00029457,0.15602,0,0.152,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,37.24994891361278
3,0,0,7.4154e-09,0.29656,0,0,0.26489,5.8062e-09,0,3.7718e-06,0.15648,0,0,1.2105e-05,7.063400000000001e-10,5.750899999999999e-11,0,1.2005,0,0,3.3138e-05,3.1293000000000004e-09,0.5322100000000001,0,0.012772,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,34.5407535176086
4,0,0,0.32749,0.20917,0,0,0.38589,0.00019589,0,0.0017986,0.07415,0,0,0.034487000000000004,0.00014724,1.6738999999999998e-06,0,1.0375,0,0,6.3323e-07,7.6835e-08,0.56106,0,1.0008e-05,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,35.494500731121036
5,0,0,4.5391e-10,0.33397,0,0,0.14365,6.113899999999999e-07,0,0.078198,7.0301e-12,0,0,0.00022789999999999998,8.5284e-07,2.3219e-10,0,1.1808,0,0,4.1096000000000003e-11,0.00033277,0.30680999999999997,0,0.65737,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,40.71943036215797
6,0,0,1.8581e-06,0.13860999999999998,0,0,0.63194,0.091865,0,0.0012512,4.618600000000001e-07,0,0,0.0042526000000000005,4.7511999999999996e-08,2.6931999999999996e-10,0,0.88056,0,0,3.3592e-05,1.0652e-06,0.25899,0,1.9698e-05,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,34.60984318196259
7,0,0,0.00024862,0.41955,0,0,1.1005,6.1246e-07,0,0.42723999999999995,0.3391,0,0,0.4292,1.0656e-09,3.9494e-14,0,0.69515,0,0,4.057e-10,6.1574e-08,0.28495,0,0.02889,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,38.20321553311997
8,0,0,1.5052000000000001e-05,0.6270100000000001,0,0,0.18379,0.095486,0,0.00083214,0.35274,0,0,6.241e-10,0.00038629,5.6826999999999997e-08,0,0.9348200000000001,0,0,2.6183000000000003e-11,3.0014e-10,0.51546,0,0.012522,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,33.31055739588409
9,0,0,0.098054,0.33560999999999996,0,0,0.027281,0.38237,0,1.5079000000000001e-09,2.4825e-05,0,0,1.2314e-08,0.006095399999999999,7.6055e-08,0,1.1459,0,0,0.38095,3.4363e-11,5.3205e-07,0,0.60265,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,37.72714731581982
10,0,0,3.8669e-08,0.2399,0,0,0.6080399999999999,0.043706999999999996,0,0.00085998,2.5611999999999994e-09,0,0,0.00012865,0.0038970999999999997,5.1645000000000004e-08,0,0.85895,0,0,0.026039999999999997,6.6965e-08,0.48178999999999994,0,0.0026706,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,34.84123146750747
