,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,8.189199999999999e-10,0.086471,0,0,0.8343700000000001,3.2501e-05,0,0,0,0,0,0,0,8.2873e-11,0,1.3976,0.00023116,0,1.2419e-06,5.8684e-10,0.29974,0.31056999999999996,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,37.908033469380385
1,0,0,1.2906e-06,0.7198,0,0,0.00031377,3.1923e-05,0,0,0,0,0,0,0,1.3631e-11,0,0.95814,3.0525e-05,0,1.0549e-05,9.989299999999999e-07,0.29825,0.44361000000000006,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,36.035539450859524
2,0,0,2.7355e-07,0.47542,0,0,4.6908999999999994e-05,0.25468,0,0,0,0,0,0,0,9.562e-10,0,0.8192,0.00044694,0,0.10389000000000001,1.4542e-05,0.043614,0.65041,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,34.502563773933375
3,0,0,8.891899999999999e-08,0.61931,0,0,8.8195e-05,4.6193999999999997e-08,0,0,0,0,0,0,0,1.5806e-11,0,1.3773,5.6628e-07,0,6.454e-05,1.9711999999999997e-11,0.27464,0.32929,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,36.05175850981773
4,0,0,0.21600000000000003,0.24156999999999998,0,0,0.42776000000000003,0.00044157,0,0,0,0,0,0,0,1.7837e-05,0,0.75362,0.00031177,0,0.00014951,5.5136000000000005e-09,0.1878,0.53149,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,37.470070871358
5,0,0,3.5225e-09,0.010572,0,0,0.68247,1.0199e-06,0,0,0,0,0,0,0,1.2989000000000001e-11,0,1.0569,1.3098e-06,0,2.1206999999999997e-07,1.9555e-09,0.0029133,0.8145600000000001,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,37.07062938274887
6,0,0,7.0188e-10,0.028212,0,0,0.9468799999999999,0.16283,0,0,0,0,0,0,0,5.0473e-12,0,1.0429,3.0052e-09,0,1.899e-05,4.6396e-06,0.022256,0.33979000000000004,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,36.39756202155167
7,0,0,0.016137000000000002,0.27321999999999996,0,0,0.28135,0.00060518,0,0,0,0,0,0,0,1.4200999999999999e-11,0,0.9278299999999999,1.4186e-06,0,0.10344,4.0281e-06,0.45187,0.6664100000000001,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,38.04212366145401
8,0,0,0.018192,0.55938,0,0,0.28269,2.2225e-05,0,0,0,0,0,0,0,0.00061271,0,0.77256,2.6942e-09,0,1.2285e-10,4.4223e-10,0.009381,1.0264,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,35.089512975111475
9,0,0,0.00044445,0.42077,0,0,0.016803,0.65253,0,0,0,0,0,0,0,3.5883e-10,0,1.3475,0.28256,0,0.19893,1.3122e-09,7.5076e-06,0.8960100000000001,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,32.332342863426355
10,0,0,2.5951e-06,0.15508,0,0,0.55014,0.03539,0,0,0,0,0,0,0,5.2215999999999996e-08,0,0.93024,2.6495e-10,0,0.065088,1.6195e-06,0.33573000000000003,0.21754,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,37.88018076821973
11,0,0,6.422399999999999e-08,0.40761,0,0,8.8033e-08,0.5472600000000001,0,0,0,0,0,0,0,7.973e-09,0,1.1892,7.8929e-10,0,5.7363e-09,2.6691000000000004e-06,0.38755,0.5485300000000001,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,36.36341648472428
12,0,0,0.00013391,0.70938,0,0,9.7439e-06,2.1712e-07,0,0,0,0,0,0,0,8.3831e-08,0,0.7840600000000001,3.275e-08,0,3.5165e-12,5.004600000000001e-07,0.09374299999999999,0.62329,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,35.103347857361385
13,0,0,0.16589,0.9079200000000001,0,0,0.048704000000000004,0.17672000000000002,0,0,0,0,0,0,0,2.7649e-12,0,0.85434,0.00016245,0,0.28713,1.5825e-08,0.00015092,0.85091,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,31.014356382250966
14,0,0,0.0036867,0.36324,0,0,0.015566,0.0030015999999999997,0,0,0,0,0,0,0,5.914e-08,0,0.9869899999999999,0.0016291,0,1.7205e-05,0.14617,0.09344,0.9169799999999999,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,39.56211039512849
15,0,0,0.10344,0.32298000000000004,0,0,0.18117,1.6474e-06,0,0,0,0,0,0,0,2.6675e-10,0,1.0532,0.00010673,0,0.13399,2.2241e-08,0.55715,1.8275e-06,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,38.16475232622539
