,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.098221,0.48975,0,0.7329100000000001,0.66656,0,0,0,0,0.34084000000000003,0.09543,0.18992,0,3.5194000000000005e-09,0.29615,0,0,0,0.0091067,6.8095e-11,0.085089,0.22779000000000002,2.4418e-07,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,-1.2345804458108267
1,0,0,7.9972e-10,0.45869,0,0.0027328000000000005,0.46658999999999995,0,0,0,0,0.24656999999999998,0.27869,0.43251000000000006,0,0.1063,2.4961e-08,0,0,0,3.2912e-05,4.5918e-07,0.068476,0.31582,0.09388300000000001,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,3.609322101297087
2,0,0,8.581e-08,0.56692,0,0.6491399999999999,0.00040066,0,0,0,0,0.27155,0.00023944,8.2992e-10,0,1.4709e-09,1.1048e-10,0,0,0,0.028058,0.0063907,0.53523,0.46071999999999996,0.36217,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,2.1827876001705775
3,0,0,0.024835,0.62879,0,0.6688,0.46226000000000006,0,0,0,0,0.035328,0.55071,0.098781,0,0.00037593,0.19391,0,0,0,0.034356,0.00015571,0.31706,0.0018597000000000002,4.4553000000000005e-07,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,-0.7818426648187371
4,0,0,0.10945,0.37490999999999997,0,0.73823,0.26834,0,0,0,0,0.1462,0.0018866,0.57772,0,3.0069000000000003e-07,0.018264,0,0,0,0.00061686,0.050682,0.02412,0.45271000000000006,0.08255,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,4.504292203422389
5,0,0,2.2966e-05,0.14634,0,0.63726,0.72459,0,0,0,0,0.27844,0.2454,0.005560100000000001,0,1.4392e-07,0.0067045,0,0,0,0.21201,1.5575e-10,0.41117,0.34647,0.039356,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,-0.2524297135660989
6,0,0,0.35043,0.10380999999999999,0,0.5697399999999999,0.0011750999999999999,0,0,0,0,0.76464,0.52098,0.0019202000000000002,0,9.847300000000001e-16,1.0257e-05,0,0,0,0.36376,4.3425e-06,0.47476999999999997,0.30464,1.4411e-10,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1.2623333802580268
7,0,0,0.096857,1.4949e-10,0,0.31525,0.5778800000000001,0,0,0,0,0.092907,5.6173e-08,0.67704,0,0.10325,0.0032533,0,0,0,0.80582,0.083388,0.00036646,0.61516,0.28371,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,11.629125547569588
8,0,0,0.041867,0.80737,0,0.10845,0.24506999999999998,0,0,0,0,0.41775,0.24143,3.6673000000000004e-10,0,1.0187000000000001e-05,1.1327e-06,0,0,0,1.2917e-11,9.2924e-11,0.051002,0.80003,0.052244000000000006,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,-1.422328805966972
9,0,0,0.011809,0.32849,0,0.31389,0.5063300000000001,0,0,0,0,0.046903,0.0005344999999999999,0.59735,0,3.9361e-07,0.00094785,0,0,0,0.099482,2.1575999999999999e-10,0.018494999999999998,0.32037,0.83425,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,9.736353783960933
