,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,1.6387e-06,0.26688,0,0.61984,0.022459,0,6.1641e-08,0,0,0.088973,0,0,0.0007038999999999999,2.6267000000000003e-10,0,1.0198,0,0.37578,2.5315000000000002e-06,6.4455e-08,0.2684,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,47.91877848173169
1,0,0,0.018124,0.61924,0,0.048391,1.3732e-05,0,1.9985999999999998e-05,0,0,0.36232,0,0,4.0022e-06,4.4746e-12,0,0.9156299999999999,0,0.33075,0.021419,3.6461e-08,0.067595,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,46.451637812627574
2,0,0,0.17042000000000002,0.4787,0,0.36013,8.6771e-09,0,7.6936e-06,0,0,0.30122,0,0,0.33009,2.0947e-13,0,0.7146,0,0.18212,1.3389000000000002e-05,1.8318000000000002e-08,0.5960300000000001,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,49.25943326015351
3,0,0,1.5578e-06,0.28853,0,0.30990999999999996,0.1137,0,0.016559,0,0,0.082044,0,0,0.01214,1.073e-10,0,1.2912,0,0.11548,0.00033394,2.4767e-09,0.12739,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,44.808277985275005
4,0,0,0.091264,0.0086164,0,0.73558,0.041617,0,0.035256,0,0,0.14945,0,0,0.043938,3.6504e-07,0,1.0703,0,0.24215,0.002183,0.21093,0.44501999999999997,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,52.4641384890361
5,0,0,3.2541e-08,0.0054915,0,0.64871,0.23768000000000003,0,1.6129e-05,0,0,0.0098271,0,0,2.0209000000000003e-05,9.3191e-12,0,1.2687,0,0.11713,7.1958e-08,2.6513e-08,0.18561,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,45.366501268718835
6,0,0,0.0039496999999999996,0.29172,0,0.14015,0.25039,0,0.19971,0,0,0.13932,0,0,7.6798e-05,8.2241e-05,0,0.9987,0,0.6046600000000001,0.02115,0.38214000000000004,0.00019142,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,58.091977821788625
7,0,0,2.8340999999999997e-07,0.048519,0,0.11220999999999999,0.69903,0,0.11707000000000001,0,0,0.38638,0,0,7.254400000000001e-10,9.6673e-12,0,0.93963,0,0.50589,2.1102e-08,2.1818e-09,0.53668,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,52.00006623826346
8,0,0,0.17456,0.68703,0,0.11864000000000001,0.00069826,0,0.00031985,0,0,0.53789,0,0,0.037471,5.4972e-05,0,0.70124,0,0.63005,3.8303e-12,3.8531e-12,0.12380999999999999,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,50.226548031666276
9,0,0,4.0116999999999996e-05,0.48594,0,0.14925,0.17123,0,0.00033358,0,0,0.00126,0,0,2.0624e-06,4.7971000000000007e-08,0,1.1516,0,0.16635,0.27149,1.539e-05,0.00011503,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,42.5176407862103
10,0,0,1.6044e-06,0.16008,0,0.14603,0.49266000000000004,0,4.2952e-07,0,0,0.039310000000000005,0,0,0.00093985,4.6411000000000004e-09,0,0.97744,0,0.044967,0.007576899999999999,9.513099999999999e-08,0.37731,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,45.75009232480245
11,0,0,6.4632e-13,0.56776,0,0.55933,0.007864,0,4.8205999999999995e-08,0,0,0.24591,0,0,2.2184e-09,5.7787e-07,0,0.9927600000000001,0,0.34726,4.7969e-06,2.1746999999999995e-09,0.5499,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,47.27608401755958
