,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.00017974,0.43756999999999996,0,0.45828,0.79268,0,0.36746,0,0,0.023309,0,0,2.8303000000000003e-05,1.7599e-11,0,0,0,0,0.025551,6.6122e-09,0.64647,0.0010438,0.026416000000000002,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,2.785848770370303
1,0,0,8.7634e-06,0.79503,0,0.16217,0.33471999999999996,0,0.0019889,0,0,0.38177,0,0,1.2973e-05,4.1184e-05,0,0,0,0,0.00015202,1.2812000000000001e-06,0.2738,0.23914000000000002,0.0063644,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1.8725563416733388
2,0,0,0.00094763,0.21761,0,0.70134,0.0003668,0,0.25306999999999996,0,0,0.139,0,0,0.24114000000000002,4.0098e-11,0,0,0,0,0.0010385,0.00016477,0.8454,0.30728,0.41753999999999997,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,8.304963529424986
3,0,0,0.15423,0.5203,0,0.84088,1.0991,0,1.1922e-06,0,0,2.7181e-08,0,0,0.040532,0.00044263,0,0,0,0,0.00031953,6.2504e-07,0.27466999999999997,3.6629e-07,5.1791999999999995e-06,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0.026351187542198673
4,0,0,0.12955999999999998,0.070672,0,0.5233899999999999,0.74146,0,5.7925000000000004e-09,0,0,0.041274,0,0,0.055978999999999994,4.5068999999999997e-07,0,0,0,0,0.016275,0.17848,1.032,0.00073109,4.152399999999999e-09,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,8.483051093038668
5,0,0,6.2764e-06,0.009548200000000001,0,0.8244600000000001,0.21191,0,9.0121e-10,0,0,0.37327,0,0,8.766200000000001e-09,4.2904e-07,0,0,0,0,0.12,5.567599999999999e-10,0.50441,0.22554000000000002,0.29157,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,4.3731267415935955
6,0,0,0.043147000000000005,0.17982,0,0.6076199999999999,0.29443,0,0.012678,0,0,0.53036,0,0,0.004858100000000001,6.550399999999999e-15,0,0,0,0,0.58432,1.291e-05,0.36146,0.47266,3.2219000000000004e-11,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,4.101509836918628
7,0,0,0.074991,2.0964000000000003e-09,0,0.53225,0.13521,0,0.713,0,0,0.0013704000000000001,0,0,0.37317,0.0089075,0,0,0,0,0.45723,1.0414999999999999e-07,0.0050098,0.51603,0.023016,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,5.184113456355112
8,0,0,0.066607,0.76255,0,0.15458,0.24283000000000002,0,0.001408,0,0,0.39464,0,0,0.0020961,9.9215e-06,0,0,0,0,2.6609999999999996e-11,3.9287e-10,0.31118,0.7814,0.039051,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,2.3938993347450666
9,0,0,0.027889999999999998,0.30269,0,0.24328000000000002,0.40973000000000004,0,0.30659000000000003,0,0,0.17272,0,0,0.15791,6.2798e-05,0,0,0,0,0.70214,5.5427e-11,2.4460999999999996e-07,0.39613000000000004,0.69086,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,9.258394824456884
10,0,0,2.2780999999999999e-10,1.8693e-05,0,0.61729,1.3095,0,3.1862e-12,0,0,0.25163,0,0,0.00025178,0.002089,0,0,0,0,0.07285599999999999,3.1779e-06,0.46228,0.085279,8.1183e-09,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1.4353385075107639
11,0,0,8.2396e-12,1.0236,0,0.27876,0.10427,0,1.1782000000000001e-09,0,0,0.12967,0,0,2.1466999999999996e-09,6.0942e-11,0,0,0,0,0.028263999999999997,3.2806e-11,0.034804,1.4091e-05,0.61841,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,4.817664588649234
12,0,0,2.4706e-16,0.0024815,0,0.39803,1.244,0,0.0010559,0,0,1.1727e-07,0,0,0.6320600000000001,1.099e-09,0,0,0,0,1.0259e-10,1.0141e-08,0.023958,2.7179,0.73963,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,9.263185462218171
