,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.6,0.76571,0,0.89138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38915,0,0.9978100000000001,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12.680694286817763
1,0,0,2.0691e-07,0.86703,0,0.35765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016745000000000002,0,0.44455,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.905750731507083
2,0,0,0.00010772,0.5925600000000001,0,1.0452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2008,0,0.48216000000000003,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.44304540671369
3,0,0,1.5619,0.01926,0,0.0016901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030926,0,0.21713000000000002,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8677860500254089
4,0,0,0.37169,0.13391,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9857299999999999,0,0.34668000000000004,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,29.27042918935288
5,0,0,0.010799,0.0001294,0,1.0781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043574,0,0.063953,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8713032139773895
6,0,0,0.9077700000000001,0.25689,0,0.17415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053271000000000006,0,1.0082,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.340549512724444
7,0,0,0.22168000000000002,0.7704300000000001,0,0.69081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1847e-07,0,0.47258999999999995,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.859200545757577
8,0,0,0.9649399999999999,0.64153,0,0.02015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5636e-09,0,0.35415,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8591862550154459
9,0,0,1.79e-08,0.060747,0,1.7776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8621e-07,0,1.1737,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8591913062501872
10,0,0,0.64383,1.2357,0,0.26542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23035,0,0.057719000000000006,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8.26477370194637
11,0,0,1.8695e-11,0.76354,0,0.51971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6594e-05,0,0.13132,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8602037364095743
12,0,0,9.505e-06,0.73148,0,0.049533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036593,0,0.70418,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.876766619056401
13,0,0,0.25237,1.2382,0,0.0067201000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7347e-05,0,0.7773800000000001,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8616150790886925
14,0,0,0.01549,0.42028000000000004,0,0.73114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71438,0,0.51365,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21.72471098592182
15,0,0,0.93671,1.0808,0,0.35224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037308999999999997,0,0.1123,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.9629352345973192
16,0,0,0.24666999999999997,0.61321,0,0.61369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28739000000000003,0,0.46928000000000003,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9.850945680290604
17,0,0,0.18347,0.81591,0,0.32826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5007e-05,0,0.3437,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8596034437290603
18,0,0,0.18111,0.30928,0,0.59705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32946,0,0.7663,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11.020830938511883
19,0,0,1.217,1.4984,0,0.7671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067709,0,0.36177,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.742042342726794
