,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.00061723,0.22935999999999998,0,0,0,8.986200000000001e-07,0,6.4028e-06,0,0,0,0.00037735,0,3.6357e-08,0.3219,1.1214,0,0,0.0013901,4.4088e-09,0.29832,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,28.04676284987086
1,0,0,0.027989,0.37458,0,0,0,0.39596,0,0.017490000000000002,0,0,0,0.1699,0,1.1731e-07,4.4117e-09,1.0319,0,0,3.3994999999999997e-07,1.251e-06,0.41025,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,28.47985083022832
2,0,0,0.098409,0.60119,0,0,0,0.086713,0,5.285499999999999e-10,0,0,0,1.5847e-10,0,2.4225000000000002e-11,0.0012312000000000002,0.7971600000000001,0,0,0.0076929,3.4059e-05,0.38727,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,26.796673455636807
3,0,0,2.5144e-09,0.1997,0,0,0,9.4887e-10,0,0.00037333,0,0,0,1.0352e-05,0,5.4005e-11,0.044254,1.1609,0,0,0.00013918,7.1641e-10,0.69057,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,29.15508580734134
4,0,0,0.29468,0.25537,0,0,0,1.6333e-07,0,0.16940999999999998,0,0,0,1.8667000000000002e-11,0,2.1819000000000002e-07,0.19689,1.3478,0,0,4.1477e-08,3.5709999999999998e-09,0.28919,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,27.50534629558812
5,0,0,4.7481999999999995e-08,0.69122,0,0,0,6.9221e-10,0,0.20546999999999999,0,0,0,3.2743e-09,0,6.139e-10,0.021502,1.4202,0,0,3.5986999999999997e-10,2.3835e-08,0.2827,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,25.261530351307513
6,0,0,0.019205,0.23708,0,0,0,0.011923,0,0.00038027,0,0,0,0.0046784,0,0.0011630999999999998,0.36977,0.93779,0,0,0.14327,0.00046064,0.14948,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,27.645062233653018
7,0,0,0.00062692,0.12090999999999999,0,0,0,2.8498000000000003e-10,0,0.0061657,0,0,0,0.56855,0,2.5287e-11,6.641900000000001e-10,0.99287,0,0,4.4841e-08,3.4299e-07,0.79568,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,35.9808934333415
8,0,0,0.0012034,0.5695399999999999,0,0,0,0.0046023,0,0.025274,0,0,0,4.719700000000001e-10,0,1.4702e-08,1.0979000000000001e-06,0.87541,0,0,1.2162e-06,9.8433e-10,0.65378,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,27.75556251884968
9,0,0,0.24955,0.57197,0,0,0,0.23118000000000002,0,4.4294e-10,0,0,0,4.3254e-10,0,4.3661000000000005e-09,3.5357e-05,1.0837,0,0,0.42683000000000004,3.2055999999999995e-07,0.001368,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,24.115260858067806
10,0,0,0.00035945,0.61212,0,0,0,8.4071e-06,0,0.0057718000000000005,0,0,0,0.15895,0,5.1425e-08,0.00059267,0.9583200000000001,0,0,0.0018327000000000003,1.1149000000000001e-07,0.59695,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,28.90894940374804
11,0,0,5.5603e-10,0.20626999999999998,0,0,0,0.44635,0,3.7466e-13,0,0,0,1.6567e-06,0,2.1215999999999998e-09,0.34351,0.89179,0,0,0.0072139,2.087e-06,0.40086,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,27.59987674489497
