,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,1.1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043676,0,0.00085997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.4147382056752935
1,0,0,2.1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1765,0,4.6303e-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.410196465407849
2,0,0,0.70315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37982,0,0.67747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.988295986822691
3,0,0,0.51266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27195,0,0.78135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.536944640916087
4,0,0,6.6661000000000004e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2357,0,0.19349,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.432125640190796
5,0,0,0.86951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7328100000000001,0,0.9245899999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.293475572879291
6,0,0,0.22030999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026068,0,1.0476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.943160506841829
7,0,0,1.2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023921,0,0.64545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.819180373575959
8,0,0,0.52741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9082999999999998e-06,0,1.3848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9.724103192250888
9,0,0,0.67033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15108,0,0.69591,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.085687988954789
10,0,0,0.49811000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012588,0,1.0396,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.900908011339836
11,0,0,0.50745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014103,0,0.5523899999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.327678219649012
12,0,0,0.49433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015038,0,1.5145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10.409121775576969
13,0,0,0.43893000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6713399999999999,0,0.18605,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.3928308193739407
14,0,0,0.8301299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38889,0,1.2158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.831519224771256
15,0,0,0.8155100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32115,0,0.37259000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.378053383241692
16,0,0,1.0526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011007,0,1.1747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.614447029129762
17,0,0,0.19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11129000000000001,0,1.1626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.550540129682997
18,0,0,0.12387000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28847,0,1.0243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.8201001136922725
19,0,0,0.91345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17306,0,0.57262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.43452421764968
20,0,0,0.90675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044754,0,1.0763,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.094741334455232
21,0,0,1.2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12512,0,0.0011589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.4163170229853446
22,0,0,0.8620899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08899,0,1.0426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.9167526971530835
23,0,0,0.00092316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43895,0,0.6519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.853246448074442
24,0,0,1.2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0479e-08,0,0.41446000000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.599192381575255
25,0,0,0.20182999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19179000000000002,0,0.92616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.301767625121559
26,0,0,0.7396699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074378,0,0.47947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.942546723148335
27,0,0,0.022377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0346,0,0.0022503,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.422081319684204
28,0,0,0.72714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099101,0,0.59323,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.5433772091866915
29,0,0,0.071675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45411999999999997,0,0.84029,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.848239901527026
30,0,0,0.008934899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067158,0,0.96685,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.516674380368577
31,0,0,0.19089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29336999999999996,0,0.92966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.320253091903681
32,0,0,0.17278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032856,0,1.0988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.213576478054591
33,0,0,0.32308000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034934,0,1.0974,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.20618229134174
34,0,0,0.38889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45698,0,0.45575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.817268073984921
35,0,0,0.01146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32103000000000004,0,0.8844299999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.081368045459283
36,0,0,0.75779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028086,0,1.3645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9.616887484914576
37,0,0,0.37694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17894000000000002,0,1.1089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.266920253625857
38,0,0,0.28649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8995,0,3.3697e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.410198000583613
39,0,0,0.33355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5243000000000004e-08,0,1.3795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9.696110913980814
40,0,0,0.41341999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059499,0,0.47334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.910170748469931
41,0,0,0.28121999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9816299999999999,0,1.1189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.319735873003351
42,0,0,0.91805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2434,0,6.2723e-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.4101965521310964
43,0,0,0.96295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26302,0,0.75147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.3791315702161375
44,0,0,0.39146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61223,0,1.1106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.275898908920034
45,0,0,0.35717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1745,0,0.6602600000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.897400305874026
46,0,0,0.20318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037580000000000003,0,0.8418899999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.856690400627426
