,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.005819100000000001,0,0.53014,0.19212,0.1657,0,0.00011625,0,0,0.16321,0,0,4.7259e-06,3.3565e-12,0.013237,1.0002,0,0,0.0027704,1.7856e-08,0.4088,0.030669,7.3446e-05,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,36.07809371919138
1,0,0,5.427000000000001e-10,0,0.09866,0.69253,0.17751,0,3.0945e-09,0,0,5.3498e-05,0,0,1.2859e-06,2.0086e-10,5.5715e-05,1.044,0,0,7.0195e-06,1.2986e-08,0.24909,0.71833,0.33154,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,37.744128452694255
2,0,0,1.7084e-06,0,6.9043e-05,0.25495999999999996,7.4919e-11,0,0.15156,0,0,0.10899,0,0,0.34408,9.810399999999999e-16,1.0206999999999999e-10,0.93291,0,0,0.00013355,1.8537e-07,0.33512,0.47431999999999996,0.10254,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,39.89146380088641
3,0,0,2.6274e-05,0,8.6916e-05,0.28259,0.5171399999999999,0,0.014473,0,0,1.404e-09,0,0,0.0029698,3.1303e-12,0.00036329,0.87261,0,0,8.763799999999999e-09,2.5964e-09,0.2695,0.2387,0.49191,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,40.80328263591099
4,0,0,0.00018732,0,9.774800000000001e-08,0.0033109000000000003,0.16474,0,1.2564999999999999e-08,0,0,0.00033101,0,0,3.1923e-08,3.3314e-05,0.0048037,0.70945,0,0,0.00042353,1.8593e-08,0.12220999999999999,0.94278,0.00097143,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,36.540366120925036
5,0,0,6.5024e-10,0,8.4557e-09,0.27525,0.1646,0,0.0013309,0,0,0.24422,0,0,8.4718e-08,2.6293000000000004e-11,0.24675999999999998,0.88189,0,0,0.00062431,1.0847e-08,0.018088999999999997,0.41896000000000005,0.41058,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,39.164367798287024
6,0,0,0.070616,0,0.035752,0.60628,0.1612,0,0.30719,0,0,0.33054,0,0,0.16604000000000002,8.967299999999999e-15,9.2372e-08,0.55545,0,0,0.28573000000000004,0.00012808,0.25667,0.47447,1.071e-05,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,35.2446662269868
7,0,0,6.2284e-07,0,8.1917e-05,0.67698,0.022925,0,0.3445,0,0,0.0023451,0,0,1.0722e-08,5.3983e-15,0.019646,0.9218200000000001,0,0,0.00045067,5.74e-11,0.0041435000000000005,0.46345,0.0021745000000000002,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,33.7962397714029
8,0,0,1.5247e-06,0,0.036847000000000005,0.33147,0.11433,0,5.8285e-09,0,0,0.33524,0,0,0.25085,4.0903000000000005e-05,1.1895e-06,0.7253,0,0,1.2173e-11,4.5216e-06,0.4501,0.87124,0.11793,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,40.216543228534505
9,0,0,1.0373e-06,0,2.9853e-08,0.18664,0.48626,0,0.042095999999999995,0,0,0.2054,0,0,0.29556,9.429299999999999e-07,6.364200000000001e-08,0.91646,0,0,0.4209,4.1653999999999995e-11,0.0014384,0.56242,0.45519,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,38.53581052280796
10,0,0,0.0049826,0,0.040244,0.1286,0.42588000000000004,0,6.674e-06,0,0,0.16127,0,0,0.030447000000000002,1.1987e-09,1.7272000000000003e-07,1.0311,0,0,0.014753,4.0978e-06,0.17117000000000002,0.48661000000000004,4.2687e-08,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,35.27000086922678
11,0,0,0.00015509,0,0.50268,0.10662,0.0011907,0,7.2466e-11,0,0,0.14702,0,0,1.5131e-09,1.59e-08,0.011744,0.9388,0,0,5.8043e-07,2.2595e-10,0.093427,0.24903000000000003,0.61693,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,41.76209868559937
12,0,0,0.00075705,0,1.8983000000000002e-08,0.33316999999999997,0.0026154,0,1.8577999999999999e-07,0,0,5.6463e-12,0,0,3.9728e-05,8.9463e-06,2.5018000000000003e-05,1.1212,0,0,3.2713999999999997e-09,1.3696999999999999e-08,0.0052967,0.98275,0.2608,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,36.81691088408392
13,0,0,0.26366999999999996,0,0.0022485,0.051229,0.18935,0,0.27281,0,0,0.21273000000000003,0,0,4.7341e-12,1.2727e-12,0.16192,0.96983,0,0,3.1981e-05,3.1993e-14,1.1465000000000002e-06,1.1781,0.35778000000000004,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,38.75143322668576
14,0,0,0.0015576,0,3.3364e-08,0.40406,0.058935,0,0.025256999999999998,0,0,0.18172,0,0,0.11915,4.8147e-12,4.9478999999999994e-09,0.70038,0,0,1.9034000000000002e-07,4.6346999999999995e-05,0.45177,0.90895,0.018298,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,38.185699960786536
15,0,0,0.0035448999999999997,0,5.8164999999999994e-11,0.35176,0.51194,0,1.82e-05,0,0,0.19826,0,0,0.17053,1.5365e-12,0.0025201,1.262,0,0,8.714399999999999e-08,7.376999999999999e-07,0.39936,0.27914,0.00017147,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,36.07338792408407
16,0,0,0.00054427,0,8.9986e-08,0.25461,0.37590999999999997,0,0.036064,0,0,0.08923500000000001,0,0,1.5306e-10,4.0966e-12,4.8291e-07,1.0047,0,0,3.7681999999999998e-06,0.0002992,0.15904000000000001,0.6526,3.5113e-09,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,34.94291871011745
17,0,0,0.0010358,0,0.18345999999999998,0.23458,0.075443,0,1.7376e-10,0,0,0.29864,0,0,0.006538500000000001,7.5241e-12,3.2852e-07,0.93409,0,0,0.012559,9.1649e-06,0.036006,0.60548,0.035327,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,35.19004408917127
18,0,0,2.5495e-08,0,7.0302e-06,0.17169,0.32911,0,0.00015583,0,0,0.008127299999999999,0,0,1.1e-09,2.239e-10,4.6669999999999995e-06,0.9007,0,0,5.414299999999999e-06,4.2547e-06,0.017569,0.62264,0.015156999999999999,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,35.05552808980149
19,0,0,0.00015626,0,0.67797,0.27805,0.054923,0,1.3585000000000002e-07,0,0,0.066491,0,0,0.01314,0.086602,1.2012e-07,0.74665,0,0,1.3258e-07,5.498e-07,0.068064,0.8682200000000001,0.21004,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,37.495813992520084
20,0,0,0.036498,0,0.0083759,1.0934e-05,0.41994,0,0.0024298,0,0,0.0066577,0,0,0.12534,0.025869999999999997,0.13618,0.9474100000000001,0,0,0.00063313,1.6411e-08,0.33808,0.57315,5.355299999999999e-06,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,37.40354058717488
21,0,0,4.0694e-06,0,9.4987e-06,0.20435,7.898399999999999e-09,0,0.0063342,0,0,0.1221,0,0,0.18275999999999998,5.5196e-10,4.9914e-06,0.83225,0,0,1.026e-10,8.423e-08,0.075179,0.72749,0.0028585,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,36.98161340747725
22,0,0,0.0057929999999999995,0,0.065482,0.61533,0.038981,0,5.4201e-07,0,0,0.0065669,0,0,0.23256,9.143500000000001e-10,1.0794999999999998e-08,0.94942,0,0,0.00010062,3.0213e-10,0.068595,0.41839,5.080499999999999e-07,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,35.826943122316656
23,0,0,2.0203000000000002e-08,0,7.3783e-08,0.010041,0.0061876000000000006,0,0.25488,0,0,0.20748000000000003,0,0,2.5792e-13,5.215800000000001e-10,0.25568,0.9013399999999999,0,0,0.0050736,5.2395000000000004e-11,0.058355,1.1185,2.435e-09,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,35.724524730350765
24,0,0,4.8008e-09,0,3.0734e-05,0.15062,0.63839,0,0.15950999999999999,0,0,0.40044,0,0,1.1805e-08,2.0986e-10,0.00016946,1.1235,0,0,0.010789,3.9171e-09,0.024087,0.1465,0.49992,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,39.114711564054836
