,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.011396,0,0,0.66785,0.0010269,0.057303,6.3525e-09,0,0.20983000000000002,0,0,0,0,5.4389e-12,0.39099,0.8105100000000001,0,0.6563399999999999,2.0252e-07,2.904e-08,0.60412,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,46.27923902437153
1,0,0,0.0033029000000000005,0,0,0.12329000000000001,0.17168,0.39403,2.4435e-13,0,0.23215,0,0,0,0,6.886199999999999e-16,0.30194,1.2116,0,0.53663,0.1036,5.7785e-10,0.12252,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,41.73259459303335
2,0,0,0.22491,0,0,0.37567,0.001929,0.17668,7.1498000000000006e-06,0,0.00011576,0,0,0,0,1.4132e-12,4.0098e-06,0.89125,0,0.11654,7.684999999999999e-08,6.3803e-05,0.42551000000000005,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,39.697155810649605
3,0,0,5.7757000000000005e-06,0,0,0.26264,0.67386,6.176600000000001e-07,0.00069898,0,0.37396,0,0,0,0,1.8935e-10,0.0014053,1.0669,0,0.036920999999999995,2.1789e-05,1.8859000000000002e-07,0.13812,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,37.39351500440669
4,0,0,0.00012648,0,0,0.8317,0.39648,5.7073e-08,0.012828999999999998,0,0.00090013,0,0,0,0,2.0172e-07,0.01683,1.0039,0,0.36125999999999997,0.19729000000000002,0.28811,0.37803000000000003,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,42.91024049014312
5,0,0,1.6304e-07,0,0,0.6691699999999999,0.28374,5.14e-07,2.3047e-06,0,1.7975e-08,0,0,0,0,1.3667e-11,9.588299999999999e-05,1.3211,0,0.039427,2.2308e-08,1.5824e-08,0.18965,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,36.451088497225534
6,0,0,0.00015429,0,0,0.19701,0.031201,5.1234e-05,0.34761,0,3.3045000000000003e-09,0,0,0,0,2.6041999999999996e-11,0.0016075,1.1640000000000001,0,0.23963,0.0017352000000000001,0.012221,0.29375999999999997,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,40.96259106867302
7,0,0,2.4672e-07,0,0,0.37806999999999996,0.35884,1.5703e-06,0.14867,0,0.0041272,0,0,0,0,7.3768e-12,0.010706,1.0773,0,0.29834,1.2436e-07,1.877e-07,0.10505999999999999,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,40.216118359766334
8,0,0,1.0969000000000001e-05,0,0,0.28193,0.008774200000000001,0.49943999999999994,4.368e-06,0,0.22209,0,0,0,0,1.1412e-11,4.1105e-13,0.9211600000000001,0,0.071365,2.3324000000000002e-07,5.8599999999999995e-05,0.54845,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,38.94354236018406
9,0,0,6.7192e-09,0,0,0.24623,0.8479899999999999,0.4841,1.9983e-10,0,6.3417e-11,0,0,0,0,3.7107e-06,0.00036126,1.4284,0,3.9677e-06,0.00011244,2.2711000000000003e-10,0.027708,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,34.32004161520426
10,0,0,2.2368999999999999e-07,0,0,0.063279,0.5345300000000001,0.20824,3.3935e-06,0,4.6451e-11,0,0,0,0,9.7162e-10,2.6449e-09,0.9141299999999999,0,2.8108000000000003e-05,0.28005,9.1579e-09,0.35075,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,36.21046731275989
11,0,0,8.491300000000001e-11,0,0,0.41181,0.42123999999999995,0.87695,2.4338000000000003e-08,0,4.0083e-09,0,0,0,0,3.0278e-05,0.39958,0.48833000000000004,0,0.32034,0.13410999999999998,2.5469e-07,0.066122,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,38.146931006890824
12,0,0,0.1575,0,0,0.35625999999999997,0.056742999999999995,0.005710600000000001,0.025532,0,0.00034185,0,0,0,0,5.0043e-12,0.51274,0.8832700000000001,0,0.072113,1.5070999999999998e-11,3.2378e-10,0.52689,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,40.05202069079788
13,0,0,0.237,0,0,0.55073,0.60007,0.00016111,1.7261e-06,0,1.6273e-07,0,0,0,0,7.252500000000001e-10,2.4763e-07,1.2718,0,0.28033,0.00061457,1.7919e-07,0.5412,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,40.6125246575819
14,0,0,0.059000000000000004,0,0,0.8333299999999999,0.09806000000000001,0.14229,0.00043875,0,0.010416,0,0,0,0,1.6484e-12,1.4508000000000002e-06,0.9803700000000001,0,9.275200000000001e-07,5.982499999999999e-09,2.3265e-07,0.25225,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,36.378792381397716
15,0,0,0.0055216,0,0,0.5030399999999999,0.44206000000000006,6.3914e-10,1.7988999999999998e-06,0,7.2055e-07,0,0,0,0,1.8103000000000002e-10,0.035135,1.1843,0,0.072325,0.0053549,3.6243000000000004e-09,0.51913,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,38.602457258481856
16,0,0,0.016353,0,0,0.3407,0.22981999999999997,1.0698e-05,9.724399999999999e-05,0,0.053655999999999995,0,0,0,0,2.2462e-12,0.056304999999999994,1.0568,0,0.056475,5.472600000000001e-07,3.6545e-05,0.25176,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,38.32541703938326
17,0,0,0.098639,0,0,0.6765,0.0040698,0.00080345,3.3954e-07,0,9.2408e-08,0,0,0,0,1.8451e-13,5.6346e-09,1.0663,0,0.1264,9.586299999999999e-05,3.1684e-11,0.41103999999999996,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,39.10044198878579
18,0,0,0.00038156,0,0,0.4553,0.50475,2.7052e-08,8.6194e-07,0,0.2198,0,0,0,0,5.1903e-12,0.05432000000000001,1.0532,0,0.072818,0.006005600000000001,6.8632e-10,0.047617,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,37.132303416424676
19,0,0,7.3188e-05,0,0,0.41331999999999997,0.38693,0.0001581,1.7631000000000001e-06,0,0.12893,0,0,0,0,5.0844e-12,1.5722999999999998e-10,1.1707,0,0.0016283,3.4747e-07,2.1063e-08,0.35319,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,37.50776164413241
20,0,0,7.281e-05,0,0,3.9727e-06,0.29672,0.32422,0.01116,0,0.0076381,0,0,0,0,1.3287e-05,8.427e-06,0.81119,0,0.0014423,0.00098252,1.0783e-08,0.52783,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,39.185930049362696
21,0,0,1.2315e-08,0,0,0.32585,0.52773,0.17285,0.00018541,0,0.023121,0,0,0,0,1.4999e-11,0.091225,1.1567,0,0.085917,1.336e-09,2.3926e-07,0.13057,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,37.24673352048606
22,0,0,4.1716000000000005e-05,0,0,0.33588,0.09492300000000001,0.25839,1.1435999999999999e-05,0,0.0040143999999999996,0,0,0,0,1.4959e-06,0.00018027,1.1685,0,0.1793,0.0001455,3.2466e-08,0.26971,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,38.99016669438557
23,0,0,0.06268,0,0,0.49278,0.11085999999999999,8.9312e-10,0.31972,0,0.00059734,0,0,0,0,3.2899e-11,0.056912,1.2954,0,9.7119e-05,3.2533e-06,7.235800000000001e-10,0.49104,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,37.782526725287845
24,0,0,7.042999999999999e-08,0,0,0.58233,0.16045,0.096111,7.3299e-08,0,1.2249e-05,0,0,0,0,2.0482e-08,0.23546999999999998,1.0217,0,0.11241,7.1483e-05,8.228899999999999e-08,0.0013866,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,37.2837050275447
25,0,0,4.0229999999999994e-07,0,0,0.6390899999999999,5.3561000000000004e-05,0.009653700000000001,3.0922000000000004e-08,0,0.58062,0,0,0,0,0.077098,6.7989e-06,1.0703,0,0.27501,2.9293e-07,1.4148e-08,0.0084101,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,39.30331810264536
26,0,0,0.005359399999999999,0,0,0.5372899999999999,0.13117,0.0001757,1.0467e-06,0,0.0016539999999999999,0,0,0,0,1.6764000000000001e-09,6.196700000000001e-11,0.99287,0,0.039641,0.20815999999999998,1.8157e-05,0.35994,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,36.82601246641877
27,0,0,0.046885,0,0,0.56639,0.57808,0.099949,0.0038224000000000005,0,0.023378,0,0,0,0,4.8527e-11,0.22000999999999998,0.9113399999999999,0,1.6735e-07,4.3057e-05,2.8717e-12,0.26339,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,36.86635205217184
28,0,0,5.2295e-07,0,0,0.6692,0.11649000000000001,2.6386e-07,1.2386e-10,0,1.9682999999999998e-08,0,0,0,0,4.6978e-12,3.5618000000000004e-05,1.0158,0,0.21114000000000002,4.7573e-08,2.205e-07,0.3107,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,39.69397585834126
