,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.43353,0,0,0.73617,0.60585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050761,0.22146999999999997,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.840207219875521
1,0,0,0.03949,0,0,0.21151999999999999,1.2734,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2708e-07,0.00017453,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.710395400321877
2,0,0,0.26598,0,0,0.74027,1.0509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11575,9.101699999999999e-08,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.327138419513331
3,0,0,0.38798,0,0,0.64017,1.4487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018042000000000002,0.0066831,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.743700318057109
4,0,0,4.1729999999999996e-07,0,0,0.50253,1.7476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71101,0.5947399999999999,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17.515906645152523
5,0,0,8.195e-06,0,0,1.0417,1.3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9910700000000001,0.011212999999999999,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.049586318080478
6,0,0,0.049088,0,0,0.21015,0.77015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47029,0.066802,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.344212534700573
7,0,0,0.37621,0,0,4.8286e-08,1.1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075365,0.051803999999999996,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.170695793310868
8,0,0,0.037217,0,0,0.81135,1.0639,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0325e-08,0.0057334,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.951440656926283
9,0,0,0.00012146,0,0,0.098714,1.1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23415,6.5537000000000005e-06,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.7636531122555192
10,0,0,8.9639e-09,0,0,0.64784,1.4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37833,0.00050047,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.168698935712763
11,0,0,0.13574,0,0,0.68645,1.1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36774,3.1121e-07,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.327534858517848
12,0,0,0.0031971,0,0,1.0979999999999999,1.1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15629,7.256399999999999e-05,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.4322461022449393
13,0,0,0.41131,0,0,0.8962700000000001,1.3663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34967,6.976600000000001e-09,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.114181288568879
14,0,0,0.025713999999999997,0,0,1.5171,1.0461,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3678e-09,5.5009e-07,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.8454536612427574
15,0,0,0.99193,0,0,0.35466,0.98926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37309000000000003,1.0964e-08,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.442153691268816
16,0,0,0.57,0,0,0.92986,1.2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48265,0.00071492,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.747527815730319
17,0,0,0.2622,0,0,0.9848600000000001,0.83616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5027699999999999,1.0597000000000002e-07,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.078458648914238
18,0,0,0.49933,0,0,1.1649,0.91825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3002,5.685899999999999e-09,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.180279961518691
19,0,0,0.3079,0,0,0.61969,1.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25140999999999997,2.1892e-05,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.8723297013632743
20,0,0,3.0046e-06,0,0,0.42746000000000006,1.2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69196,3.7924e-05,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.596956779545705
21,0,0,0.46011,0,0,0.77795,0.95249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031820999999999995,1.6081000000000001e-06,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0357861429201285
22,0,0,8.727700000000001e-05,0,0,0.69721,1.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25514000000000003,0.00087378,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.91348002222112
23,0,0,0.0019632,0,0,1.0414,1.2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24331999999999998,0.00032672,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.7478965518487564
24,0,0,0.0071253,0,0,0.90689,0.90638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22351999999999997,0.0044996,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.9581811882083224
25,0,0,0.006114,0,0,1.1387,0.07037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7208100000000001,0.6932,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.58641763083685
26,0,0,0.00095876,0,0,0.8032699999999999,0.7261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8810600000000001,4.8828e-08,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.72939322262738
27,0,0,0.049796,0,0,0.89702,0.8763799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14015,1.4951e-05,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5360206813262596
