,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.21450999999999998,0,0,1.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098562,0,0.9999100000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10.23375440832229
1,0,0,5.8173e-09,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2958,0,0.8013899999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9.99043833413618
2,0,0,0.3864,0,0,0.73369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012936,0,0.8998200000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10.358968840691713
3,0,0,0.012471,0,0,0.9146200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015686,0,0.8643200000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9.805439251723351
4,0,0,0.024485,0,0,0.9577899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25914,0,0.85911,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11.047720289520557
5,0,0,4.2476000000000005e-07,0,0,1.0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7514e-05,0,1.005,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10.028303736456092
6,0,0,0.0012500999999999999,0,0,0.30785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23913,0,1.4704,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15.060566567702628
7,0,0,2.336e-08,0,0,0.92566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32811999999999997,0,0.75289,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11.016341896323567
8,0,0,0.039455000000000004,0,0,1.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094273,0,1.0269,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10.341880543059153
9,0,0,1.959e-07,0,0,1.1740000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1915e-08,0,0.8321700000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9.083861798917212
10,0,0,0.011507,0,0,1.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33864,0,0.74274,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10.860713312738834
11,0,0,4.788e-07,0,0,1.1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11422,0,0.7832899999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9.51917699764115
12,0,0,1.9786e-05,0,0,1.4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048425,0,0.32422,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.517173482454448
13,0,0,0.8251799999999999,0,0,0.60531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23314000000000001,0,0.4093,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9.712049326119853
