,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.20526,0,0,1.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008534299999999998,0.00052701,1.0011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9.32660298353878
1,0,0,6.8752e-09,0,0,1.4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29574,0.00017569,0.80123,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8.770156932876997
2,0,0,0.38713000000000003,0,0,0.98688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015161,0.2698,0.72088,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,13.614011964179975
3,0,0,0.016271,0,0,0.90865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012885,0.011824,0.8677299999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9.172824739139296
4,0,0,0.0010295,0,0,0.76682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31105,0.17595,1.1208,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,15.239188799451181
5,0,0,4.7548e-07,0,0,1.0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.217e-05,2.8983999999999995e-10,1.005,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9.129374719263414
6,0,0,0.0013259,0,0,0.31143000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24113,4.3738999999999996e-05,1.4665,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,13.884158237928622
7,0,0,7.2026999999999995e-09,0,0,0.9309200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30626,1.2671e-10,0.76841,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9.723317535673509
8,0,0,0.040283,0,0,1.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093183,2.9556e-07,1.0288,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9.441262149928873
9,0,0,2.2190999999999998e-07,0,0,1.1740000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3892999999999999e-08,4.0218e-09,0.8321799999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8.185051168531718
