,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,1.689e-08,0,0,0,0,0,0.00032758,0,0,0.058335000000000005,0.31094,0.0048863,0.41594,1.1626000000000001e-10,0,1.0322,0,0.17673,0.0022570999999999997,1.0865999999999999e-05,0.33135,0,0.03174,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,47.84450943464419
1,0,0,0.00053173,0,0,0,0,0,1.7467e-10,0,0,0.42172,0.15179,0.077123,0.07824500000000001,2.1648e-10,0,1.0065,0,0.012232999999999999,2.4479e-05,7.0686e-06,0.45059,0,0.14599,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,45.98269095905944
2,0,0,0.00023163,0,0,0,0,0,2.2502e-05,0,0,0.27226,0.60773,3.9330999999999996e-10,0.16604000000000002,2.105e-08,0,0.9522700000000001,0,1.1301e-06,0.0015372,0.00068338,0.33598,0,0.00017444,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,43.872485469408666
3,0,0,2.5531e-09,0,0,0,0,0,0.20788,0,0,0.38903000000000004,0.39766,0.00014658,5.2597e-08,6.3777e-11,0,0.67633,0,0.038325,0.00034443,3.1155999999999997e-07,0.30556,0,0.17554,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,45.50472952030013
4,0,0,0.09641799999999999,0,0,0,0,0,0.12002,0,0,0.31093000000000004,0.19432,1.1955000000000002e-10,1.2584000000000001e-09,2.7898999999999997e-08,0,1.2017,0,0.026493,1.5880000000000002e-07,1.5531e-06,0.43099,0,0.003198,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.669001715372325
5,0,0,2.3826e-08,0,0,0,0,0,0.16491,0,0,0.21316999999999997,0.10853,1.5868e-09,3.6255e-05,3.7874e-11,0,1.2488,0,0.00039069,3.9521e-10,1.2840000000000001e-06,0.58931,0,0.20533,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.96386590931198
6,0,0,1.3689e-07,0,0,0,0,0,0.0054275,0,0,0.37923,0.029772000000000003,0.00069315,0.0001165,7.969499999999999e-11,0,0.95075,0,0.16933,0.00011040000000000001,0.00022147,0.42458999999999997,0,0.1256,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,46.237765570925504
7,0,0,0.0016737000000000002,0,0,0,0,0,0.27204,0,0,0.21588000000000002,7.823899999999998e-11,0.31736,2.3107e-07,2.7637e-10,0,1.0842,0,0.31919000000000003,1.6669000000000002e-08,4.3035e-07,0.48213999999999996,0,0.02671,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,49.998242200403034
8,0,0,0.00018395,0,0,0,0,0,1.0033000000000001e-08,0,0,0.50192,0.046688,3.8662e-08,0.017022,8.6208e-06,0,1.0145,0,0.24103000000000002,4.303e-05,3.0856e-08,0.58859,0,0.072271,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,47.061633321359025
9,0,0,0.00018547,0,0,0,0,0,0.0050894,0,0,0.42291999999999996,0.11592000000000001,4.6195e-12,0.00084215,2.2844999999999997e-09,0,1.0529,0,1.3597000000000002e-07,0.46918999999999994,1.7848e-09,0.35056,0,0.35846999999999996,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.87882074599204
10,0,0,0.0031853000000000003,0,0,0,0,0,0.0022404,0,0,0.03742,0.29454,0.017812,4.9465e-05,1.2183e-09,0,0.91484,0,0.06398999999999999,0.0034027000000000003,9.503e-07,0.5786100000000001,0,0.00019265,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.55920238763793
11,0,0,0.34621,0,0,0,0,0,5.1411e-10,0,0,0.19976,0.6804399999999999,4.1589e-09,3.0849e-08,1.5600999999999998e-07,0,0.80294,0,7.062999999999999e-08,0.021555,1.5014000000000002e-07,0.50898,0,0.13291,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.94210931161854
12,0,0,0.0092633,0,0,0,0,0,8.9631e-08,0,0,8.3698e-11,0.0051297,1.1167e-07,5.3425e-07,2.2953e-12,0,1.103,0,0.066173,7.0315e-07,3.9142e-08,0.96483,0,7.241499999999999e-10,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,45.395722412470555
13,0,0,0.10185,0,0,0,0,0,0.33598,0,0,0.24355,0.13607,7.9546e-06,0.013037,3.3964000000000003e-10,0,1.0413,0,0.0025896,0.0013627000000000001,5.9114e-09,0.5908,0,0.090768,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,44.40232326801435
14,0,0,5.1631e-05,0,0,0,0,0,1.0047e-09,0,0,0.00023071,0.3973,1.2829e-05,0.37705,1.8724e-12,0,0.93839,0,5.5889e-09,6.3995e-06,7.1214e-09,0.74341,0,0.0016581,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,47.02161538022903
15,0,0,0.0049778999999999995,0,0,0,0,0,0.019687,0,0,0.00025696,0.37288000000000004,4.5044e-05,0.24986,1.3019e-07,0,0.51064,0,0.3774,0.18407,0.00092373,0.59802,0,0.16576,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,51.37547159299704
16,0,0,0.00070436,0,0,0,0,0,0.073285,0,0,0.70052,0.27689,3.3827999999999996e-06,3.3625e-08,7.849e-11,0,0.4907,0,2.1856999999999998e-05,0.012292,4.7309e-06,0.32191,0,0.61951,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,50.209424020578204
17,0,0,0.008174200000000001,0,0,0,0,0,1.0497e-06,0,0,0.445,0.31151999999999996,3.218e-06,1.0217e-09,2.0986e-12,0,1.0764,0,0.0034844999999999998,3.138e-08,1.6759000000000002e-09,0.28302,0,0.0018721,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.17890954607179
18,0,0,2.2609e-05,0,0,0,0,0,3.5419999999999997e-06,0,0,0.075504,0.25877,1.1940999999999998e-09,9.9609e-08,2.0761e-12,0,1.2154,0,0.030075,0.00394,7.161100000000001e-10,0.52081,0,5.0393000000000004e-05,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,42.97190716992784
