,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.00044912,0,0,0,0,0,6.0676e-08,1.8831e-12,0,0,0,0,0.00085104,7.1663e-08,0,0,2.3664e-06,0.28297,3.9836e-10,1.3902e-05,1.8929,0,3.8838e-05,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.48846997909364
1,0,0,0.092947,0,0,0,0,0,1.7047000000000002e-07,0.27195,0,0,0,0,0.10774,6.8456e-08,0,0,0.020576,0.36851,0.019823,0.0026421999999999995,1.4268,0,0.32115,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.200175139124745
2,0,0,0.5956,0,0,0,0,0,0.013300999999999999,0.12753,0,0,0,0,0.34722,4.928e-10,0,0,0.14072,0.17049,0.098197,0.022375,0.99061,0,0.097872,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,12.134570175450335
3,0,0,8.0823e-10,0,0,0,0,0,0.075331,5.9765e-05,0,0,0,0,6.7581e-05,0.00053824,0,0,3.7377e-08,0.67914,0.016995,4.2331e-09,1.3806,0,1.8697e-11,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.236311513390964
4,0,0,0.40137,0,0,0,0,0,0.23811,3.9782e-06,0,0,0,0,2.9799e-10,1.3090999999999999e-06,0,0,0.00021797,0.0133,0.030414,1.6285e-06,1.2224,0,0.025092,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.184157755273718
5,0,0,0.026862999999999998,0,0,0,0,0,1.0723000000000001e-08,0.20518000000000003,0,0,0,0,0.00018013,6.0626e-11,0,0,3.0022e-09,8.611799999999999e-09,2.8584e-08,7.7308e-09,1.6948,0,0.10620999999999998,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.924369807079248
6,0,0,2.8826999999999997e-07,0,0,0,0,0,0.34901,1.4162999999999999e-08,0,0,0,0,1.0258e-08,2.8712000000000004e-10,0,0,0.12253,0.39924,0.41745,0.00099312,1.4123,0,0.20285999999999998,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,13.149810047536787
7,0,0,0.34415,0,0,0,0,0,0.27512,0.0061925,0,0,0,0,0.00096072,0.00067399,0,0,0.020538999999999998,0.71672,0.0023831,0.12837,1.1212,0,0.15041,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.451169572557292
8,0,0,0.029432,0,0,0,0,0,0.27641,0.25921,0,0,0,0,2.7671999999999995e-07,1.5895e-10,0,0,2.6911999999999996e-07,0.00013963,0.007105199999999999,1.727e-06,1.5924,0,6.307e-05,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.15075017480759
9,0,0,0.42665,0,0,0,0,0,0.31953000000000004,1.3408e-07,0,0,0,0,0.19827,1.729e-06,0,0,4.9021000000000004e-05,1.3419e-06,0.6662899999999999,2.8050000000000003e-08,0.8533299999999999,0,0.052877,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,15.229614697247726
10,0,0,8.8235e-07,0,0,0,0,0,7.660599999999999e-06,3.7885e-11,0,0,0,0,0.062476,0.0072676,0,0,0.0075337,0.32585,0.042633,1.554e-05,1.5087,0,0.0018346,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.984874835077143
11,0,0,6.4017e-13,0,0,0,0,0,0.11893,3.7703000000000003e-08,0,0,0,0,2.1654e-12,7.0072e-09,0,0,0.0022732,0.00015367,0.11684000000000001,0.00052162,1.7763,0,0.0022771000000000002,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.370012008625062
12,0,0,2.3092e-09,0,0,0,0,0,1.2887000000000001e-09,0.30229,0,0,0,0,0.23029000000000002,5.545899999999999e-11,0,0,1.855e-08,0.17325,1.9291e-07,8.5959e-06,1.8862,0,1.3244000000000001e-08,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.13855418502158
13,0,0,0.20872,0,0,0,0,0,0.51882,0.15328,0,0,0,0,0.15178,3.0831e-08,0,0,0.00048931,0.0011673,0.011487,0.00013471,1.0218,0,0.043344,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.014779338140027
14,0,0,0.00058168,0,0,0,0,0,0.040359,0.015027,0,0,0,0,0.091692,3.0706e-11,0,0,0.00013604,0.6360100000000001,2.0227e-06,0.018473,1.2496,0,0.12190999999999999,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.804066526990734
