,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,1.1728,0,0,0,0,0,0,0,0,0,0,0,0,0.0020044,0,0,0,0,0.00087651,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.7980376708608157
1,0,0,0.0011285,0,0,0,0,0,0,0,0,0,0,0,0,0.27763000000000004,0,0,0,0,0.88461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.465530834759149
2,0,0,0.78987,0,0,0,0,0,0,0,0,0,0,0,0,0.045881,0,0,0,0,0.52249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.552971625861381
3,0,0,0.67729,0,0,0,0,0,0,0,0,0,0,0,0,2.8449e-05,0,0,0,0,0.7606,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.810564338858861
4,0,0,0.8361700000000001,0,0,0,0,0,0,0,0,0,0,0,0,8.7175e-10,0,0,0,0,0.48352,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.3471491571472924
5,0,0,1.1296,0,0,0,0,0,0,0,0,0,0,0,0,7.614299999999999e-06,0,0,0,0,0.6936,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.4566996890296595
6,0,0,0.20745,0,0,0,0,0,0,0,0,0,0,0,0,0.021463999999999997,0,0,0,0,1.0589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.386054264889471
7,0,0,1.1885,0,0,0,0,0,0,0,0,0,0,0,0,0.00030107,0,0,0,0,0.6411100000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.179470502917199
8,0,0,0.60234,0,0,0,0,0,0,0,0,0,0,0,0,0.26705,0,0,0,0,1.2915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.614545571609951
9,0,0,0.73007,0,0,0,0,0,0,0,0,0,0,0,0,8.919200000000001e-09,0,0,0,0,0.76293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.822870378173817
10,0,0,0.58424,0,0,0,0,0,0,0,0,0,0,0,0,0.06715499999999999,0,0,0,0,1.0381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.276197776584284
11,0,0,0.54127,0,0,0,0,0,0,0,0,0,0,0,0,0.038834,0,0,0,0,0.5331100000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.6090618136402783
12,0,0,0.48832,0,0,0,0,0,0,0,0,0,0,0,0,1.1647e-08,0,0,0,0,1.4986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8.708357048917827
13,0,0,0.5514600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.53932,0,0,0,0,0.45288999999999996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.1853749149940302
14,0,0,0.94335,0,0,0,0,0,0,0,0,0,0,0,0,3.6873e-09,0,0,0,0,0.9263899999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.686194492518312
15,0,0,0.26998,0,0,0,0,0,0,0,0,0,0,0,0,1.0135,0,0,0,0,0.00043744,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.7957186954608084
16,0,0,0.9856600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.097838,0,0,0,0,1.2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.134451591468543
17,0,0,0.33647,0,0,0,0,0,0,0,0,0,0,0,0,2.9523000000000003e-07,0,0,0,0,1.0515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.346970706550125
18,0,0,0.36471,0,0,0,0,0,0,0,0,0,0,0,0,0.21286,0,0,0,0,0.89276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.508575564551806
19,0,0,0.8741200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0044367,0,0,0,0,0.6833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.4022996010708395
20,0,0,0.78475,0,0,0,0,0,0,0,0,0,0,0,0,0.34886,0,0,0,0,0.55374,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.7180204364160465
21,0,0,0.23978000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0.59337,0,0,0,0,0.010028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8463718321185087
22,0,0,0.8695200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.029824,0,0,0,0,1.062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.402427106896492
23,0,0,0.0013337,0,0,0,0,0,0,0,0,0,0,0,0,0.025651,0,0,0,0,0.8203799999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.1262961114975125
24,0,0,1.2235,0,0,0,0,0,0,0,0,0,0,0,0,3.8077e-07,0,0,0,0,0.41446000000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.9824044897263278
25,0,0,0.4599,0,0,0,0,0,0,0,0,0,0,0,0,0.00018273,0,0,0,0,0.80308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.034925089974451
26,0,0,0.7297600000000001,0,0,0,0,0,0,0,0,0,0,0,0,1.3887000000000001e-05,0,0,0,0,0.4799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.328029902932639
27,0,0,1.0923,0,0,0,0,0,0,0,0,0,0,0,0,0.41226999999999997,0,0,0,0,0.13917000000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.5284433038833267
28,0,0,0.72895,0,0,0,0,0,0,0,0,0,0,0,0,0.00025315,0,0,0,0,0.58445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.880217203524327
29,0,0,1.0054,0,0,0,0,0,0,0,0,0,0,0,0,2.3607e-08,0,0,0,0,0.84234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.242279211650486
30,0,0,0.07345299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.64332,0,0,0,0,0.38473,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.82538365331704
31,0,0,1.0254,0,0,0,0,0,0,0,0,0,0,0,0,0.45443999999999996,0,0,0,0,0.74767,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.742273743003763
32,0,0,0.16868,0,0,0,0,0,0,0,0,0,0,0,0,3.6011e-10,0,0,0,0,1.101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.608408022468713
33,0,0,0.32835,0,0,0,0,0,0,0,0,0,0,0,0,3.3527e-07,0,0,0,0,1.0966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.585169149942614
34,0,0,0.41179,0,0,0,0,0,0,0,0,0,0,0,0,0.029054000000000003,0,0,0,0,0.5674100000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.7902193881050765
35,0,0,0.4942,0,0,0,0,0,0,0,0,0,0,0,0,0.24583000000000002,0,0,0,0,0.7149300000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.5693554051618515
36,0,0,0.68005,0,0,0,0,0,0,0,0,0,0,0,0,0.083196,0,0,0,0,1.3229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.780386616455277
37,0,0,0.47591000000000006,0,0,0,0,0,0,0,0,0,0,0,0,2.5838e-08,0,0,0,0,1.1477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.855056964961604
38,0,0,1.1408,0,0,0,0,0,0,0,0,0,0,0,0,0.000352,0,0,0,0,0.0068604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8296419565244944
39,0,0,0.22164,0,0,0,0,0,0,0,0,0,0,0,0,0.6408699999999999,0,0,0,0,0.43058,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.0675432681628454
40,0,0,0.48026,0,0,0,0,0,0,0,0,0,0,0,0,4.8708e-05,0,0,0,0,0.42595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.043089636391066
41,0,0,0.53776,0,0,0,0,0,0,0,0,0,0,0,0,0.028110000000000003,0,0,0,0,0.59135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.9166599808947966
42,0,0,0.7256,0,0,0,0,0,0,0,0,0,0,0,0,1.8099000000000001e-10,0,0,0,0,0.44356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.136097942114831
43,0,0,0.59132,0,0,0,0,0,0,0,0,0,0,0,0,0.1083,0,0,0,0,0.8841399999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.463048500648406
44,0,0,0.47768999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0.12117,0,0,0,0,0.61739,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.054191853753788
45,0,0,0.59432,0,0,0,0,0,0,0,0,0,0,0,0,2.063e-05,0,0,0,0,0.64035,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.17545651584451
