,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.0026951,0,0,0,0,0,0,0,0,0,1.0485,0,0.32386,0.00089739,0.092414,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,39.72762251868847
1,0,0,0,0,0,0,0,0.37017,0,0,0,0,0,0,0,0,0,1.1,0,0.25246999999999997,0.093688,0.046973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,37.264988252179755
2,0,0,0,0,0,0,0,0.24485,0,0,0,0,0,0,0,0,0,0.94839,0,0.1366,0.010378,0.092395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,37.10763965489154
3,0,0,0,0,0,0,0,3.4257e-09,0,0,0,0,0,0,0,0,0,1.258,0,0.37684,0.19952,0.00016819,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,38.90503007562024
4,0,0,0,0,0,0,0,2.435e-08,0,0,0,0,0,0,0,0,0,1.1476,0,0.15281,0.10629000000000001,0.16847,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,39.59909216288501
5,0,0,0,0,0,0,0,0.075903,0,0,0,0,0,0,0,0,0,1.4203,0,0.8567799999999999,3.1653000000000003e-05,0.57202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,54.877798627487344
6,0,0,0,0,0,0,0,6.6461e-07,0,0,0,0,0,0,0,0,0,1.2566,0,0.057172,0.00077005,0.1719,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,38.069648686566715
7,0,0,0,0,0,0,0,5.9398e-06,0,0,0,0,0,0,0,0,0,1.0499,0,0.39315,7.1343e-05,0.20949,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,42.901986928577266
8,0,0,0,0,0,0,0,0.32054,0,0,0,0,0,0,0,0,0,0.93284,0,0.53788,0.010211,0.007514,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,39.74169677164575
9,0,0,0,0,0,0,0,0.43215,0,0,0,0,0,0,0,0,0,1.1716,0,2.4426e-08,0.34886,1.2069e-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,34.102075399783686
10,0,0,0,0,0,0,0,0.10145,0,0,0,0,0,0,0,0,0,1.169,0,0.18807000000000001,0.25274,4.2316999999999995e-05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,36.789645824434075
11,0,0,0,0,0,0,0,0.18574000000000002,0,0,0,0,0,0,0,0,0,1.1816,0,2.6822000000000003e-06,0.18942,0.00040687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,34.193547523428016
12,0,0,0,0,0,0,0,0.31243000000000004,0,0,0,0,0,0,0,0,0,1.0008,0,0.42312,1.0307999999999999e-08,0.00086237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,38.2050402271925
13,0,0,0,0,0,0,0,0.30123,0,0,0,0,0,0,0,0,0,1.015,0,0.19021,0.16366,5.6524e-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,36.145751372391345
14,0,0,0,0,0,0,0,0.30932,0,0,0,0,0,0,0,0,0,1.3402,0,0.093341,0.015280000000000002,0.067307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,35.45765704257212
15,0,0,0,0,0,0,0,2.8346e-08,0,0,0,0,0,0,0,0,0,0.7389100000000001,0,0.6501899999999999,0.020128,0.11107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,44.27240227620785
16,0,0,0,0,0,0,0,0.11795,0,0,0,0,0,0,0,0,0,1.1169,0,0.076578,0.00018429,0.0011284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,34.66281529490085
17,0,0,0,0,0,0,0,0.071402,0,0,0,0,0,0,0,0,0,1.1284,0,0.25004,0.16086,0.00084532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,37.31156452677096
18,0,0,0,0,0,0,0,1.1387000000000001e-05,0,0,0,0,0,0,0,0,0,1.0413,0,0.3717,0.18697,7.2673e-06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,39.0700861598445
