,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.91485,0,0,0,0.9195399999999999,0,9.847100000000001e-09,0,2.005e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
1,0,0,0,0,0,0,0,0.3461,0,0,0,0.69628,0,0.2804,0,0.00041851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
2,0,0,0,0,0,0,0,0.6288100000000001,0,0,0,0.81047,0,0.40794,0,4.0779000000000005e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
3,0,0,0,0,0,0,0,0.85475,0,0,0,0.43261000000000005,0,0.36579,0,2.9131e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
4,0,0,0,0,0,0,0,0.61957,0,0,0,0.53504,0,0.13445,0,2.6004e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
5,0,0,0,0,0,0,0,0.49099,0,0,0,0.312,0,0.099205,0,4.9541000000000006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
6,0,0,0,0,0,0,0,0.8594,0,0,0,1.025,0,0.34708,0,1.0207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
7,0,0,0,0,0,0,0,0.041735,0,0,0,0.53103,0,0.73482,0,0.0020668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
8,0,0,0,0,0,0,0,0.63149,0,0,0,0.22988000000000003,0,0.16929,0,2.386e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
9,0,0,0,0,0,0,0,0.43921000000000004,0,0,0,0.45002,0,0.45335,0,4.5347e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
10,0,0,0,0,0,0,0,0.089923,0,0,0,0.8337899999999999,0,0.8594,0,3.1616e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
11,0,0,0,0,0,0,0,0.32195,0,0,0,0.3385,0,0.77013,0,0.00030638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
12,0,0,0,0,0,0,0,1.0366,0,0,0,0.8073100000000001,0,1.1126,0,2.4787e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
13,0,0,0,0,0,0,0,0.74187,0,0,0,0.24443,0,0.35524,0,0.0046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
14,0,0,0,0,0,0,0,0.6514,0,0,0,0.80998,0,0.00025322,0,0.036875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
15,0,0,0,0,0,0,0,0.008913200000000001,0,0,0,0.17877,0,0.7783899999999999,0,6.0493e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
16,0,0,0,0,0,0,0,0.6691600000000001,0,0,0,0.67391,0,0.84478,0,5.735399999999999e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
17,0,0,0,0,0,0,0,0.66979,0,0,0,0.71063,0,0.0021006,0,2.0463e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
18,0,0,0,0,0,0,0,0.38834,0,0,0,0.066538,0,0.67683,0,7.6861e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
19,0,0,0,0,0,0,0,0.75642,0,0,0,1.1155,0,0.19072999999999998,0,4.3434e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
20,0,0,0,0,0,0,0,3.4387e-05,0,0,0,0.97203,0,0.78988,0,0.00015454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
21,0,0,0,0,0,0,0,0.6272,0,0,0,0.39313000000000003,0,0.30429,0,5.2720000000000005e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7356714256964956
