,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,1.1573,0,0,0.31105,1.0595,0.021216,0,0,3.3586999999999995e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
1,0,0,0,0,0,0,0,0.25639,0,0,0.65888,0.61339,0.017575999999999998,0,0,0.60136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
2,0,0,0,0,0,0,0,1.157e-07,0,0,1.2021,1.6202,9.653399999999999e-09,0,0,2.7648e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
3,0,0,0,0,0,0,0,0.43637,0,0,1.0418e-05,0.56042,0.45545,0,0,1.8819e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
4,0,0,0,0,0,0,0,0.0037884,0,0,0.7149800000000001,0.60113,0.31115,0,0,4.0355e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
5,0,0,0,0,0,0,0,0.594,0,0,0.039909,0.22923000000000002,0.31956,0,0,0.11663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
6,0,0,0,0,0,0,0,1.2628,0,0,0.83906,1.4142,0.00016652,0,0,3.7825e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
7,0,0,0,0,0,0,0,3.589e-05,0,0,0.7400899999999999,1.0709,0.0032119999999999996,0,0,3.8667e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
8,0,0,0,0,0,0,0,1.0203,0,0,0.0061555,0.007626999999999999,0.76255,0,0,9.7954e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
9,0,0,0,0,0,0,0,0.8390700000000001,0,0,0.49265,0.27733,0.51064,0,0,1.5625e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22215452484158385
