,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.042996,0.00020272,0,0,0.46468999999999994,0.35905,0.00012787,0,1.7387e-07,0,1.0044,1.3500999999999998e-05,0.0011672,0.0073195,1.9212e-07,0.022525999999999997,0,0.020255000000000002,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,35.23949350301752
1,0,0,0,0,0,0,0,0.059553999999999996,2.664e-10,0,0,0.48502,0.12345999999999999,0.072087,0,6.2786e-11,0,0.99177,7.4526e-08,0.021436,0.00010707,1.1717e-05,0.39726,0,0.14219,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.11597344220317
2,0,0,0,0,0,0,0,0.019902,1.5538e-05,0,0,0.21006,0.46062,6.8277e-11,0,1.3013999999999998e-10,0,1.0545,0.0013039999999999998,2.7019999999999997e-06,0.00017195,0.00063896,0.44943999999999995,0,0.0015745,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,36.84004196117574
3,0,0,0,0,0,0,0,1.3083e-08,0.21111,0,0,0.38271,0.40068000000000004,0.00015113,0,5.0339e-11,0,0.6663600000000001,1.8847999999999998e-07,0.040886,0.00033993,3.3463e-07,0.31345,0,0.19614,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.776604018556334
4,0,0,0,0,0,0,0,5.568999999999999e-09,0.25044,0,0,0.43436,0.21191999999999997,3.4783e-11,0,2.3405999999999998e-08,0,1.0491,6.9916999999999995e-06,0.0050219999999999996,4.5878e-07,6.379299999999999e-07,0.39645,0,0.023119999999999998,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,36.906019981168804
5,0,0,0,0,0,0,0,1.2992e-08,0.16894,0,0,0.21065,0.10769000000000001,2.3661e-09,0,1.6673e-10,0,1.2535,1.7580999999999998e-07,0.00041497,2.1468e-09,1.3308e-06,0.5929399999999999,0,0.20410999999999999,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.09453920069183
6,0,0,0,0,0,0,0,0.06476699999999999,0.0071104,0,0,0.40633,0.020419999999999997,0.00094489,0,7.941199999999999e-11,0,0.9482200000000001,1.6706e-08,0.20563,0.00016198,0.00017375,0.377,0,0.14026,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,40.462209861773715
7,0,0,0,0,0,0,0,3.2077e-10,0.27626,0,0,0.21148000000000003,9.1056e-11,0.31708000000000003,0,4.5869e-10,0,1.0816,0.00016999999999999999,0.31461,1.4769000000000001e-08,5.5283e-07,0.49665,0,0.026893,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,44.08905579915687
8,0,0,0,0,0,0,0,0.5211399999999999,3.2199000000000003e-06,0,0,0.17941,0.23786999999999997,8.4592e-09,0,5.352600000000001e-09,0,0.78246,6.7429e-05,0.21036,0.00027388,1.1717e-06,0.43604,0,0.017287,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,38.67847339661907
9,0,0,0,0,0,0,0,0.49416000000000004,8.3598e-08,0,0,0.33087,0.025072999999999998,8.6057e-12,0,3.0749e-09,0,1.1348,3.8188e-09,1.0174e-06,0.4141,2.3336e-09,0.1984,0,0.18604,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,37.63494427477151
10,0,0,0,0,0,0,0,0.27636,0.017480000000000002,0,0,0.30234,0.34142,0.007452600000000001,0,7.533499999999999e-11,0,0.68187,7.8242e-06,0.0045229,0.051024,1.6536e-08,0.701,0,4.0700000000000003e-07,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,38.522998590566615
11,0,0,0,0,0,0,0,0.42363,2.9453e-09,0,0,0.17113,0.65395,2.8545e-09,0,7.5177e-07,0,0.79776,0.0001947,3.7375e-09,0.14057,2.2083e-06,0.14639000000000002,0,0.22252,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,37.88654116894328
12,0,0,0,0,0,0,0,0.21845,7.944800000000001e-07,0,0,2.6608999999999996e-10,0.0026117,2.954e-07,0,3.2051e-12,0,1.1646,3.0354e-10,0.043792000000000005,1.1164000000000001e-07,3.5360999999999995e-08,0.71187,0,6.212499999999999e-09,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,37.641950913971975
13,0,0,0,0,0,0,0,0.00010642,0.24770999999999999,0,0,0.15456,0.013791999999999999,0.00096231,0,4.4913e-11,0,1.1887,6.6647e-08,4.0861999999999996e-05,0.0014985,8.8813e-10,0.6791699999999999,0,0.003742,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,37.5471522546086
14,0,0,0,0,0,0,0,0.5603,2.4722e-10,0,0,0.41646000000000005,0.6843899999999999,0.0056662,0,6.8206e-14,0,0.67092,2.9969e-06,9.905900000000001e-11,1.9565999999999998e-08,3.1423e-08,0.73168,0,0.029235,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,37.97532553019619
15,0,0,0,0,0,0,0,7.944400000000001e-06,8.3136e-05,0,0,1.6030000000000002e-08,0.6835100000000001,0.0043364,0,3.4909e-07,0,0.4573,4.7793e-07,0.52596,0.033477,4.4095e-06,0.59468,0,0.24081999999999998,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,47.736641140319534
16,0,0,0,0,0,0,0,0.30541,0.00086388,0,0,0.22671,0.0088618,4.8278e-05,0,5.7614e-12,0,1.073,6.309400000000001e-06,3.6168e-05,1.6971e-05,3.3389e-05,0.30746999999999997,0,0.10553,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,36.465968650787715
17,0,0,0,0,0,0,0,0.00084966,1.2857999999999998e-07,0,0,0.44238999999999995,0.32445,2.3936e-07,0,2.3268e-11,0,1.0756,8.376400000000001e-08,0.0019074,2.8341e-09,9.074600000000001e-10,0.2861,0,0.00028002,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,36.10602750037346
18,0,0,0,0,0,0,0,0.18813,3.0864e-07,0,0,0.10206,0.20648000000000002,4.8767e-09,0,9.6792e-12,0,1.2358,1.6994e-08,0.065106,0.0038491999999999997,2.1896999999999996e-09,0.33831999999999995,0,0.0055888000000000005,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,36.19373064393753
19,0,0,0,0,0,0,0,0.00043743,2.3301e-06,0,0,0.14734,0.079212,0.19249000000000002,0,8.8949e-12,0,1.1124,0.00014836,0.21899000000000002,7.010999999999999e-07,2.755e-06,0.44367,0,0.30441999999999997,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,44.34823391172538
20,0,0,0,0,0,0,0,0.31061,0.00066233,0,0,0.4964,0.33158000000000004,1.0724e-07,0,6.8916e-07,0,0.8312,0.00015434,0.00014731,0.014528,1.3047999999999999e-09,0.37175,0,0.22229000000000002,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,38.650960721115275
21,0,0,0,0,0,0,0,0.11269000000000001,7.1243e-05,0,0,0.084605,0.00037294,1.3353e-07,0,1.4589000000000002e-09,0,1.0482,1.8211000000000002e-06,0.23840999999999998,4.313899999999999e-09,4.0796e-07,0.7959,0,3.6097000000000004e-07,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,40.814903499874035
22,0,0,0,0,0,0,0,0.19175999999999999,0.1066,0,0,0.061636,0.36023,1.5139e-07,0,3.854e-08,0,1.0864,0.0010817000000000001,0.00019652,1.8355e-05,7.0134000000000005e-06,0.13903,0,0.30577,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,38.07566818632757
23,0,0,0,0,0,0,0,1.6328e-05,1.2162e-08,0,0,6.776e-05,0.14323,9.327700000000001e-09,0,0.00031989,0,1.1168,0.00018572,0.041256,2.4528000000000003e-05,1.8028e-09,0.94114,0,3.3299999999999995e-09,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.34761314967564
24,0,0,0,0,0,0,0,0.00014623,0.00036786,0,0,0.0083738,1.1405e-06,0.0019252,0,1.1432e-06,0,1.1714,1.5094000000000002e-09,0.22616,8.1413e-06,2.9281e-07,0.30926,0,0.29733000000000004,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,41.633963295460326
25,0,0,0,0,0,0,0,0.006895999999999999,9.0508e-08,0,0,0.45508999999999994,0.038289,0.11667999999999999,0,3.7655e-06,0,1.1191,8.578e-09,7.3095e-07,9.9882e-07,3.6625999999999997e-09,0.33354,0,0.37005,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,41.245632252301526
26,0,0,0,0,0,0,0,0.00076051,1.7781e-08,0,0,3.4402e-05,0.018229,0.15615,0,0.00032552,0,1.4026,6.1533e-08,0.013871000000000001,0.14585,0.004549,0.52258,0,0.28488,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,41.64072070126512
27,0,0,0,0,0,0,0,1.2088e-11,0.042076999999999996,0,0,0.21284,0.084263,3.0219e-06,0,1.1077e-06,0,1.3969,5.369399999999999e-07,2.7919e-06,9.07e-06,3.6307e-09,0.30463,0,0.34913,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,38.97137277273389
28,0,0,0,0,0,0,0,0.1444,3.4503e-07,0,0,0.23151999999999998,0.0048207,0.059422,0,3.0828e-11,0,0.96024,2.0926e-05,0.026513,5.058100000000001e-07,6.9244e-07,0.28402,0,0.50578,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,42.204181423414255
29,0,0,0,0,0,0,0,0.00081557,3.7225000000000004e-08,0,0,0.12012,4.4448e-07,4.4745e-05,0,0.0064289,0,0.93075,0.00043021,0.16794,8.526799999999998e-09,0.015443,0.6134,0,0.39521999999999996,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,44.27708597698734
30,0,0,0,0,0,0,0,0.046060000000000004,7.9216e-06,0,0,0.067569,0.33816999999999997,2.5915e-05,0,3.2658e-12,0,1.1757,0.025726,0.0143,7.569e-06,4.9115e-09,0.49633,0,6.543199999999999e-05,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,36.79025313538176
31,0,0,0,0,0,0,0,0.46442,0.012374,0,0,0.25009000000000003,0.6061,0.12449,0,7.391e-13,0,0.6632100000000001,0.0061247,0.017036000000000003,0.71623,3.4005000000000003e-06,0.04746,0,0.025490000000000002,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.16951834675814
32,0,0,0,0,0,0,0,0.033935,0.2573,0,0,0.013968000000000001,0.017016999999999997,0.26332,0,3.0577999999999995e-10,0,1.0725,0.00028456,1.5022e-08,4.2956000000000004e-07,4.268e-05,0.28726999999999997,0,6.6986e-10,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,38.691266647786726
33,0,0,0,0,0,0,0,0.0064071,0.00023904,0,0,2.5101e-05,0.5759,5.6311e-09,0,1.3344e-07,0,0.98826,3.4009e-05,0.0031835,5.722e-07,1.4742e-07,0.21486999999999998,0,0.47951000000000005,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,41.04299368058483
34,0,0,0,0,0,0,0,0.0006105,3.4748000000000004e-07,0,0,0.058620000000000005,0.26599,0.0016817,0,3.0032e-10,0,1.0997,0.0042335,0.24386999999999998,0.092027,6.6134e-07,0.58133,0,0.22263000000000002,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,42.77367839912884
35,0,0,0,0,0,0,0,0.078695,0.012273000000000001,0,0,0.50185,0.21756,1.0255e-05,0,1.7250000000000002e-10,0,1.0493,1.0282e-06,3.0383000000000006e-09,1.8724000000000002e-05,1.4245e-05,0.091687,0,0.5159100000000001,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,40.484048660860346
36,0,0,0,0,0,0,0,0.12437000000000001,0.00079146,0,0,0.30158,0.34747,3.2153e-07,0,2.1498000000000003e-05,0,1.0688,1.0562000000000002e-07,7.961799999999999e-06,0.00047198,5.2950999999999996e-08,0.14249,0,0.0015847,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,35.14637177688449
37,0,0,0,0,0,0,0,0.038560000000000004,0.00049538,0,0,0.23608,0.00043427,1.7684e-09,0,1.9968e-09,0,0.9965700000000001,1.6458000000000002e-06,0.013516,9.2985e-07,2.0600999999999997e-08,0.64762,0,0.14864000000000002,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.50216787217712
38,0,0,0,0,0,0,0,0.53788,6.9926e-14,0,0,0.049548,0.47236999999999996,0.23141,0,0.029144999999999997,0,0.7186600000000001,4.7642999999999996e-11,0.4796,0.0057097,1.6332e-07,0.030694,0,0.0049056,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,42.33915095359921
39,0,0,0,0,0,0,0,0.13458,0.2953,0,0,0.21871999999999997,0.11391,1.1845e-10,0,9.3257e-10,0,1.1687,8.6825e-08,0.17093,9.5977e-05,2.2131000000000001e-07,0.51174,0,0.11033,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,39.52633621361195
40,0,0,0,0,0,0,0,0.00013373,8.543099999999999e-10,0,0,0.060055,0.19917,0.093303,0,3.1069e-10,0,1.0813,4.0514999999999996e-08,0.00080851,0.042183,0.00075877,0.6339100000000001,0,0.49895,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,43.980867759486856
