,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.28159,0.9792200000000001,0,0,0,0,0,0,0,0,0,1.2652,0,2.5597e-07,1.1297,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,26.28378135687211
1,0,0,0,0,0,0,0,0.7727,0.00031265,0,0,0,0,0,0,0,0,0,0.8079999999999999,0,0.00026703,0.34271,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9.06010399901901
2,0,0,0,0,0,0,0,0.74244,0.5555100000000001,0,0,0,0,0,0,0,0,0,0.35925,0,0.72539,4.8866e-07,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,12.847519586117272
3,0,0,0,0,0,0,0,0.5854699999999999,0.7712100000000001,0,0,0,0,0,0,0,0,0,0.92512,0,0.17419,0.39435,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,13.091232805960036
4,0,0,0,0,0,0,0,1.2158,1.4513,0,0,0,0,0,0,0,0,0,2.7838999999999997e-06,0,0.00043549,1.1157,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,23.40668293872159
5,0,0,0,0,0,0,0,0.58908,0.031354,0,0,0,0,0,0,0,0,0,0.74757,0,0.6632600000000001,0.044478,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,13.322428723829214
6,0,0,0,0,0,0,0,0.34465,0.4975,0,0,0,0,0,0,0,0,0,0.66495,0,1.0295,0.00014729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,18.453254975649234
7,0,0,0,0,0,0,0,0.66293,0.3484,0,0,0,0,0,0,0,0,0,0.4637,0,0.4754,0.033075,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,10.053683029863913
8,0,0,0,0,0,0,0,0.95965,8.7629e-06,0,0,0,0,0,0,0,0,0,0.23731999999999998,0,1.1347,5.4062e-09,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,18.41957325190976
9,0,0,0,0,0,0,0,0.75346,9.924600000000001e-10,0,0,0,0,0,0,0,0,0,0.00019828,0,0.6285,1.9093e-07,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,11.459026019835921
