,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.8116,0,0,0,0,0,5.6249e-08,0,0,0,0,0.28205,0,0,0,1.3616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13.689102557858316
1,0,0,0,0,0,0,0,0.83486,0,0,0,0,0,3.2688e-05,0,0,0,0,0.11850999999999999,0,0,0,1.1559,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12.559058977027247
2,0,0,0,0,0,0,0,0.5938899999999999,0,0,0,0,0,4.1638e-08,0,0,0,0,0.13129000000000002,0,0,0,1.1259,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12.394249509720819
3,0,0,0,0,0,0,0,0.5152100000000001,0,0,0,0,0,3.4375e-09,0,0,0,0,4.6241000000000004e-08,0,0,0,1.8074,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,16.138171242031824
4,0,0,0,0,0,0,0,0.59317,0,0,0,0,0,2.1832e-10,0,0,0,0,6.199899999999999e-07,0,0,0,1.1752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12.665086400994383
5,0,0,0,0,0,0,0,4.1448e-07,0,0,0,0,0,3.5753e-07,0,0,0,0,7.1868e-10,0,0,0,1.7226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,15.672309814445658
6,0,0,0,0,0,0,0,0.40318000000000004,0,0,0,0,0,0.13595,0,0,0,0,0.0023648000000000002,0,0,0,1.4571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,14.213746028783778
7,0,0,0,0,0,0,0,0.00022394,0,0,0,0,0,0.27407,0,0,0,0,6.674e-05,0,0,0,1.6439,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,15.239959645211798
8,0,0,0,0,0,0,0,0.58828,0,0,0,0,0,1.2655000000000001e-08,0,0,0,0,0.0013837,0,0,0,1.3662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13.714373342845303
9,0,0,0,0,0,0,0,0.56106,0,0,0,0,0,2.0175000000000002e-07,0,0,0,0,0.0048157,0,0,0,1.2427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13.035907702433844
10,0,0,0,0,0,0,0,0.24366,0,0,0,0,0,0.00048745,0,0,0,0,0.21411999999999998,0,0,0,1.4737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,14.304940600693334
