,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.80203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9130799999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.310288501262468
1,0,0,0,0,0,0,0,0.80781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.819503729876526
2,0,0,0,0,0,0,0,0.6359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.683261236903213
3,0,0,0,0,0,0,0,0.5152399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.225566054209356
4,0,0,0,0,0,0,0,0.59324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.749185023825785
5,0,0,0,0,0,0,0,4.4073999999999996e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.757507167059103
6,0,0,0,0,0,0,0,0.49954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.696683562496734
7,0,0,0,0,0,0,0,0.0017587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6669999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.45206028765119
8,0,0,0,0,0,0,0,0.5886899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.80066942524079
9,0,0,0,0,0,0,0,0.5562199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.132641717758737
10,0,0,0,0,0,0,0,0.25908000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.240554804607944
11,0,0,0,0,0,0,0,0.60415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.702333109747956
12,0,0,0,0,0,0,0,0.63834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0785,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.21904790399011
13,0,0,0,0,0,0,0,0.0024366999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7524,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.921217904583486
