,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.9819200000000001,0,0,0,0,0,0,0,0,0.096221,0,0,0.26593,0.20151,0,1.0189,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16.98908338133004
1,0,0,0,0,0,0,0,0.79208,0,0,0,0,0,0,0,0,2.7410999999999996e-07,0,0,0.70087,0.59119,0,1.0823,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,23.638483263332937
2,0,0,0,0,0,0,0,0.63543,0,0,0,0,0,0,0,0,6.4955e-07,0,0,0.004467199999999999,0.049576,0,1.1781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,15.29090728975904
3,0,0,0,0,0,0,0,0.5809,0,0,0,0,0,0,0,0,0.23135999999999998,0,0,0.047366000000000005,0.00049484,0,1.7053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16.86976066228443
4,0,0,0,0,0,0,0,0.35269,0,0,0,0,0,0,0,0,1.3466,0,0,0.060572,2.1596999999999997e-05,0,0.7351800000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,12.618658025441341
5,0,0,0,0,0,0,0,0.00059153,0,0,0,0,0,0,0,0,0.645,0,0,1.7061e-08,4.6414999999999996e-08,0,1.5764,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16.418686930938716
6,0,0,0,0,0,0,0,0.47002,0,0,0,0,0,0,0,0,0.23756999999999998,0,0,0.34504,0.81138,0,0.8847,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,26.26362809537202
7,0,0,0,0,0,0,0,0.061026,0,0,0,0,0,0,0,0,1.5491e-08,0,0,0.45853,0.024439,0,1.5841,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16.941479114802934
8,0,0,0,0,0,0,0,0.5928399999999999,0,0,0,0,0,0,0,0,6.836899999999999e-09,0,0,0.00072951,0.009032799999999999,0,1.3618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,15.468273914180124
9,0,0,0,0,0,0,0,0.62717,0,0,0,0,0,0,0,0,0.00067276,0,0,8.0982e-08,0.22882,0,1.0375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,17.526969390290038
10,0,0,0,0,0,0,0,0.19011,0,0,0,0,0,0,0,0,0.34165999999999996,0,0,0.12949000000000002,0.33066999999999996,0,1.2148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,20.075131091182094
11,0,0,0,0,0,0,0,0.45757,0,0,0,0,0,0,0,0,0.24774000000000002,0,0,4.0821e-05,0.48006000000000004,0,0.9002399999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,20.966140836499935
12,0,0,0,0,0,0,0,0.64072,0,0,0,0,0,0,0,0,1.5082e-09,0,0,0.057487,3.2008e-12,0,1.1283,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,14.291258830747424
13,0,0,0,0,0,0,0,0.53899,0,0,0,0,0,0,0,0,0.5743699999999999,0,0,0.00064375,0.34998,0,1.4235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,21.192422797932345
14,0,0,0,0,0,0,0,0.018331,0,0,0,0,0,0,0,0,0.39794,0,0,0.60448,0.36196999999999996,0,0.68794,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,18.397025286425922
15,0,0,0,0,0,0,0,0.43181,0,0,0,0,0,0,0,0,0.49881000000000003,0,0,0.39838,0.094829,0,1.3587,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16.960138527688457
16,0,0,0,0,0,0,0,0.7734300000000001,0,0,0,0,0,0,0,0,0.00014921,0,0,0.20357,0.00037691,0,1.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,15.01842327429181
17,0,0,0,0,0,0,0,0.72219,0,0,0,0,0,0,0,0,0.068643,0,0,1.9228000000000002e-08,0.00013987,0,1.2906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,14.979296977002788
