,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,1.0484,0,0,0,0,0,0,0,0,0.028977,0,0,0.82305,0.42718999999999996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,10.12953254826687
1,0,0,0,0,0,0,0,0.67074,0,0,0,0,0,0,0,0,0.25467,0,0,0.5857,1.2083,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,22.6194452944819
2,0,0,0,0,0,0,0,0.77705,0,0,0,0,0,0,0,0,0.44983,0,0,0.19197999999999998,0.26025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7.37645512525539
3,0,0,0,0,0,0,0,0.5846,0,0,0,0,0,0,0,0,0.8920100000000001,0,0,0.83306,1.0231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,19.747821930769636
4,0,0,0,0,0,0,0,0.56207,0,0,0,0,0,0,0,0,1.3824,0,0,0.30823,0.056838,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4.213045338080728
5,0,0,0,0,0,0,0,0.67306,0,0,0,0,0,0,0,0,0.3026,0,0,3.4051e-08,0.8958299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17.490537618175857
6,0,0,0,0,0,0,0,0.31316,0,0,0,0,0,0,0,0,0.056258,0,0,0.6549,1.248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,23.356074429374555
7,0,0,0,0,0,0,0,0.52225,0,0,0,0,0,0,0,0,0.07056699999999999,0,0,0.1593,0.6500199999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.646105526263053
8,0,0,0,0,0,0,0,0.7107899999999999,0,0,0,0,0,0,0,0,6.4075e-06,0,0,0.62541,0.1831,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6.269304732230497
9,0,0,0,0,0,0,0,0.72338,0,0,0,0,0,0,0,0,5.6132e-05,0,0,0.041323,0.63508,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.330068172012826
10,0,0,0,0,0,0,0,0.29764,0,0,0,0,0,0,0,0,0.7542,0,0,0.33323,0.61898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.248353280792053
11,0,0,0,0,0,0,0,0.53376,0,0,0,0,0,0,0,0,0.21996999999999997,0,0,0.18552000000000002,0.54282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,11.940146882546586
12,0,0,0,0,0,0,0,0.62934,0,0,0,0,0,0,0,0,0.00022463,0,0,0.73165,0.008009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3.5228460734237115
13,0,0,0,0,0,0,0,0.94099,0,0,0,0,0,0,0,0,0.0064988,0,0,0.24914,0.36559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,9.031015692872813
14,0,0,0,0,0,0,0,0.058346,0,0,0,0,0,0,0,0,0.4046,0,0,0.669,0.8910799999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17.72879705001271
15,0,0,0,0,0,0,0,0.0018629999999999999,0,0,0,0,0,0,0,0,0.41151000000000004,0,0,0.90628,0.41895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,10.271443654727635
16,0,0,0,0,0,0,0,0.65973,0,0,0,0,0,0,0,0,6.490000000000001e-07,0,0,0.49671000000000004,0.5748300000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,12.497249422868446
17,0,0,0,0,0,0,0,0.76939,0,0,0,0,0,0,0,0,0.62156,0,0,0.34943,0.28978000000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7.888227576613924
18,0,0,0,0,0,0,0,1.4280000000000001e-08,0,0,0,0,0,0,0,0,1.2380999999999999e-05,0,0,0.88912,0.71567,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,14.999855042790516
19,0,0,0,0,0,0,0,0.18978,0,0,0,0,0,0,0,0,0.37155,0,0,0.9542799999999999,0.038564999999999995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4.171411970709459
20,0,0,0,0,0,0,0,1.2398e-07,0,0,0,0,0,0,0,0,1.056,0,0,1.2554,6.9307e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3.6768250518733128
21,0,0,0,0,0,0,0,0.6952699999999999,0,0,0,0,0,0,0,0,1.1145,0,0,0.061386,0.90209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17.600203193193373
22,0,0,0,0,0,0,0,1.1124,0,0,0,0,0,0,0,0,0.48296000000000006,0,0,0.22795,0.89286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17.393489014733284
23,0,0,0,0,0,0,0,0.43845,0,0,0,0,0,0,0,0,0.61475,0,0,0.037998000000000004,0.85785,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,16.95087728243994
24,0,0,0,0,0,0,0,0.86767,0,0,0,0,0,0,0,0,0.49322,0,0,0.80386,0.4644,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,10.761867569139696
25,0,0,0,0,0,0,0,1.0056,0,0,0,0,0,0,0,0,0.16042,0,0,0.4108,0.86064,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,16.95067534259967
26,0,0,0,0,0,0,0,0.61968,0,0,0,0,0,0,0,0,0.67577,0,0,0.0013524000000000001,0.7687,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,15.47624331874541
27,0,0,0,0,0,0,0,0.61631,0,0,0,0,0,0,0,0,0.60814,0,0,1.4255,0.80194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,16.359636723021573
28,0,0,0,0,0,0,0,0.044728,0,0,0,0,0,0,0,0,0.49008,0,0,1.296,1.614e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3.6762184937747775
29,0,0,0,0,0,0,0,0.28514,0,0,0,0,0,0,0,0,0.79059,0,0,0.07695199999999999,0.8605299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17.04028227000601
