,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.10787999999999999,0,4.6927e-12,0,0,0.54102,0,0,1.8851e-14,0,1.1131,8.442500000000001e-11,2.2211000000000002e-06,2.4076e-06,2.4767e-09,0.6776800000000001,0.31436,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.373469816483652
1,0,0,0,0,0,0,0,2.0308e-06,0,0.47186999999999996,0,0,0.3781,0,0,5.026500000000001e-08,0,0.8852,0.011719,0.13108,0.049079000000000005,6.157e-05,0.009880100000000001,0.77969,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.80083766196541
2,0,0,0,0,0,0,0,0.3169,0,2.1550999999999998e-07,0,0,0.53546,0,0,7.034699999999999e-07,0,0.99703,1.9624e-06,1.6246e-06,0.009181700000000001,0.0017816,0.00023292,0.8526299999999999,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,25.997820170989797
3,0,0,0,0,0,0,0,2.2142e-10,0,5.9532e-07,0,0,0.21808000000000002,0,0,1.3729e-11,0,0.8311299999999999,0.0013876,3.6071e-07,4.011e-05,2.4151e-10,0.24131999999999998,0.7934899999999999,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.330629796309438
4,0,0,0,0,0,0,0,1.2008e-10,0,0.435,0,0,0.3185,0,0,1.1473e-05,0,0.62922,1.3955e-10,0.021574,0.12611,4.4825999999999996e-10,0.0010451,1.2813,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,28.517871471599207
5,0,0,0,0,0,0,0,1.3228e-06,0,0.65245,0,0,0.12638,0,0,1.1658e-08,0,0.5848800000000001,0.0026473000000000004,0.33716999999999997,0.00064652,3.2347e-08,0.026704000000000002,0.8983200000000001,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,31.128852985548438
6,0,0,0,0,0,0,0,1.4825e-05,0,0.28644000000000003,0,0,0.15144000000000002,0,0,1.6005e-11,0,1.3208,5.2451e-06,5.9374e-05,1.9902e-05,0.0016987999999999999,0.45483,0.45824,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.08888971232203
7,0,0,0,0,0,0,0,0.0043139,0,0.044101999999999995,0,0,5.406999999999999e-09,0,0,9.1236e-11,0,0.8814200000000001,0.0013189999999999999,0.4797,0.298,0.00035102,0.51042,0.6735899999999999,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,35.653036124197726
8,0,0,0,0,0,0,0,0.3217,0,0.0036808999999999995,0,0,0.33973000000000003,0,0,9.7493e-06,0,0.7275,7.7211e-10,1.5057e-05,0.015497,0.00096816,0.15141,0.8580899999999999,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,26.598407943411495
9,0,0,0,0,0,0,0,0.62447,0,7.1972999999999995e-09,0,0,5.965599999999999e-06,0,0,1.2080999999999998e-09,0,1.2819,0.027268999999999998,9.6499e-09,0.26224000000000003,8.960799999999999e-09,0.10965,0.8373200000000001,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,27.089514731978156
