,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.71922,0,2.1754999999999998e-09,0,0,0,0,0,0,0.22716999999999998,0,0,0,0,2.0008e-05,0.8196700000000001,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6.338099900343783
1,0,0,0,0,0,0,0,0.78175,0,0.6123,0,0,0,0,0,0,1.4136e-08,0,0,0,0,0.030162,0.8540200000000001,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7.112662574749391
2,0,0,0,0,0,0,0,0.5886100000000001,0,4.5297e-06,0,0,0,0,0,0,0.00023395,0,0,0,0,0.25713,1.1948,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,14.799407146310944
3,0,0,0,0,0,0,0,0.27604,0,0.25311,0,0,0,0,0,0,0.0080558,0,0,0,0,1.0348999999999999e-08,1.8932,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10.262140953501033
4,0,0,0,0,0,0,0,0.32957,0,0.079601,0,0,0,0,0,0,1.3137,0,0,0,0,2.4963e-09,0.7459600000000001,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7.10418759040688
5,0,0,0,0,0,0,0,0.00084591,0,0.34941,0,0,0,0,0,0,0.72337,0,0,0,0,2.4531e-08,1.5516,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10.039905551004853
6,0,0,0,0,0,0,0,0.5867899999999999,0,0.15406,0,0,0,0,0,0,0.3002,0,0,0,0,1.133e-05,1.1771,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7.607238703649127
7,0,0,0,0,0,0,0,0.0014671,0,0.095082,0,0,0,0,0,0,7.578e-08,0,0,0,0,0.0011884,1.6944,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10.448064490262627
8,0,0,0,0,0,0,0,0.5703600000000001,0,0.23642,0,0,0,0,0,0,9.7225e-09,0,0,0,0,0.00015695,1.2716,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7.901062321982756
9,0,0,0,0,0,0,0,0.5551,0,0.00032467,0,0,0,0,0,0,0.0042358000000000005,0,0,0,0,4.4701000000000003e-07,1.2439,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7.8612879486246365
10,0,0,0,0,0,0,0,0.35538000000000003,0,1.0423e-11,0,0,0,0,0,0,0.088305,0,0,0,0,5.9834e-06,1.5927,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9.274028425340987
