,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.72541,0,0.38984,0,0,0,0,0,1.1735e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
1,0,0,0,0,0,0,0,0.59399,0,0.55887,0,0,0,0,0,9.4133e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
2,0,0,0,0,0,0,0,0.58832,0,0.00014775,0,0,0,0,0,0.00011085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
3,0,0,0,0,0,0,0,0.17848,0,0.36288000000000004,0,0,0,0,0,0.0012413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
4,0,0,0,0,0,0,0,0.7490899999999999,0,0.42203,0,0,0,0,0,0.037176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
5,0,0,0,0,0,0,0,0.55173,0,0.40269,0,0,0,0,0,4.5063999999999994e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
6,0,0,0,0,0,0,0,0.46846000000000004,0,0.47773999999999994,0,0,0,0,0,0.037718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
7,0,0,0,0,0,0,0,0.55405,0,0.10765999999999999,0,0,0,0,0,0.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
8,0,0,0,0,0,0,0,0.54089,0,0.22475,0,0,0,0,0,1.1896e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
9,0,0,0,0,0,0,0,0.52315,0,0.073516,0,0,0,0,0,0.0051573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
10,0,0,0,0,0,0,0,0.39268000000000003,0,0.2435,0,0,0,0,0,3.9891e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
11,0,0,0,0,0,0,0,0.8096800000000001,0,0.26175,0,0,0,0,0,0.0012242000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.554426862042092
