,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.50232,0,0,0,0,0,0,0.42641,0,0,0,0,0,0,0,1.0597,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.115767304478082
1,0,0,0,0,0,0,0,0.7175699999999999,0,0,0,0,0,0,0.24253000000000002,0,0,0,0,0,0,0,1.2234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.015077631080153
2,0,0,0,0,0,0,0,0.3694,0,0,0,0,0,0,0.41766000000000003,0,0,0,0,0,0,0,1.1457,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.588221110756507
3,0,0,0,0,0,0,0,0.51522,0,0,0,0,0,0,1.1448e-07,0,0,0,0,0,0,0,1.8075,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.22391795953629
4,0,0,0,0,0,0,0,0.5932,0,0,0,0,0,0,1.1148e-09,0,0,0,0,0,0,0,1.1751,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.749734388716806
5,0,0,0,0,0,0,0,4.1883999999999996e-07,0,0,0,0,0,0,7.813e-06,0,0,0,0,0,0,0,1.7226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.757507167059103
6,0,0,0,0,0,0,0,0.49954,0,0,0,0,0,0,1.4287e-09,0,0,0,0,0,0,0,1.5295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.696683562496734
7,0,0,0,0,0,0,0,0.38863000000000003,0,0,0,0,0,0,0.41095,0,0,0,0,0,0,0,1.5736,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.938953479437181
8,0,0,0,0,0,0,0,0.5886899999999999,0,0,0,0,0,0,1.9436e-08,0,0,0,0,0,0,0,1.3664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.80066942524079
9,0,0,0,0,0,0,0,0.55357,0,0,0,0,0,0,0.009824600000000001,0,0,0,0,0,0,0,1.2371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.090340621150089
10,0,0,0,0,0,0,0,0.25524,0,0,0,0,0,0,0.0011162000000000001,0,0,0,0,0,0,0,1.6281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.238357345043857
11,0,0,0,0,0,0,0,0.60415,0,0,0,0,0,0,1.4312e-09,0,0,0,0,0,0,0,1.3485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.702333109747956
12,0,0,0,0,0,0,0,0.63713,0,0,0,0,0,0,0.00083894,0,0,0,0,0,0,0,1.0817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.236627580502795
13,0,0,0,0,0,0,0,4.0720999999999995e-06,0,0,0,0,0,0,0.50557,0,0,0,0,0,0,0,1.621,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.199352437781336
14,0,0,0,0,0,0,0,0.4983,0,0,0,0,0,0,4.9455e-06,0,0,0,0,0,0,0,1.1458,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.588770475647527
15,0,0,0,0,0,0,0,0.27583,0,0,0,0,0,0,0.56186,0,0,0,0,0,0,0,1.1266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.483292416571414
16,0,0,0,0,0,0,0,0.8049,0,0,0,0,0,0,0.15363,0,0,0,0,0,0,0,1.399,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.979762379713776
17,0,0,0,0,0,0,0,0.69904,0,0,0,0,0,0,6.9872e-07,0,0,0,0,0,0,0,1.2168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.978819548272739
18,0,0,0,0,0,0,0,0.92375,0,0,0,0,0,0,1.0167e-08,0,0,0,0,0,0,0,0.7140000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10.216612876217019
19,0,0,0,0,0,0,0,0.13118,0,0,0,0,0,0,0.35799000000000003,0,0,0,0,0,0,0,1.109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.386604195751644
20,0,0,0,0,0,0,0,0.58119,0,0,0,0,0,0,1.7575e-06,0,0,0,0,0,0,0,0.97316,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.64034692778814
21,0,0,0,0,0,0,0,0.79461,0,0,0,0,0,0,0.59282,0,0,0,0,0,0,0,0.5455800000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9.291372526758735
22,0,0,0,0,0,0,0,0.6064,0,0,0,0,0,0,0.016358,0,0,0,0,0,0,0,1.4593,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.311029408999694
23,0,0,0,0,0,0,0,0.49205,0,0,0,0,0,0,0.00095238,0,0,0,0,0,0,0,1.484,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.446722537081984
24,0,0,0,0,0,0,0,9.153700000000001e-08,0,0,0,0,0,0,0.014278,0,0,0,0,0,0,0,1.7353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.827276508218823
25,0,0,0,0,0,0,0,0.5501,0,0,0,0,0,0,2.9521999999999998e-08,0,0,0,0,0,0,0,1.1594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.663484100826443
26,0,0,0,0,0,0,0,0.81742,0,0,0,0,0,0,0.2307,0,0,0,0,0,0,0,1.413,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.056673464456773
27,0,0,0,0,0,0,0,1.6612000000000002e-09,0,0,0,0,0,0,2.1137000000000003e-08,0,0,0,0,0,0,0,1.7667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.999777083999549
28,0,0,0,0,0,0,0,0.60723,0,0,0,0,0,0,0.22301999999999997,0,0,0,0,0,0,0,1.3181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.535326182877442
29,0,0,0,0,0,0,0,0.56423,0,0,0,0,0,0,5.1229e-06,0,0,0,0,0,0,0,1.4716,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.378601290595329
30,0,0,0,0,0,0,0,0.61316,0,0,0,0,0,0,0.050637,0,0,0,0,0,0,0,1.1592,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.6623853710444
31,0,0,0,0,0,0,0,0.7860199999999999,0,0,0,0,0,0,3.0244999999999997e-10,0,0,0,0,0,0,0,1.3934,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.948997945816574
32,0,0,0,0,0,0,0,1.0515,0,0,0,0,0,0,0.00037789,0,0,0,0,0,0,0,1.6413,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.310873510658686
33,0,0,0,0,0,0,0,0.8102199999999999,0,0,0,0,0,0,0.1548,0,0,0,0,0,0,0,1.3641,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.788034032747298
34,0,0,0,0,0,0,0,0.7953,0,0,0,0,0,0,0.029244,0,0,0,0,0,0,0,1.3479,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.699036920401827
35,0,0,0,0,0,0,0,0.49673999999999996,0,0,0,0,0,0,9.354700000000001e-07,0,0,0,0,0,0,0,1.2576,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.202960423809483
36,0,0,0,0,0,0,0,0.48616000000000004,0,0,0,0,0,0,1.9828e-06,0,0,0,0,0,0,0,1.2223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.009034617278918
37,0,0,0,0,0,0,0,0.6360899999999999,0,0,0,0,0,0,0.046412,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.161208692091853
38,0,0,0,0,0,0,0,0.63256,0,0,0,0,0,0,4.7009999999999995e-07,0,0,0,0,0,0,0,1.4035,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.004483799809737
39,0,0,0,0,0,0,0,3.3582e-07,0,0,0,0,0,0,0.22954000000000002,0,0,0,0,0,0,0,1.4911,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.485727444344507
40,0,0,0,0,0,0,0,0.71045,0,0,0,0,0,0,0.082981,0,0,0,0,0,0,0,1.5515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.817543838521447
