,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.7521100000000001,0,0,0,0,0,0,0,0,0,0,0,0,1.3234,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.290503934777835
1,0,0,0,0,0,0,0,0.5937899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.63443,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.340769529402172
2,0,0,0,0,0,0,0,0.52833,0,0,0,0,0,0,0,0,0,0,0,0,0.66899,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.907754032363597
3,0,0,0,0,0,0,0,0.54311,0,0,0,0,0,0,0,0,0,0,0,0,0.8244799999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.384001054800418
4,0,0,0,0,0,0,0,0.59909,0,0,0,0,0,0,0,0,0,0,0,0,0.36607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.059577836120969
5,0,0,0,0,0,0,0,0.54028,0,0,0,0,0,0,0,0,0,0,0,0,0.5463399999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.948797349549762
6,0,0,0,0,0,0,0,0.56555,0,0,0,0,0,0,0,0,0,0,0,0,1.1923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.244721386396023
7,0,0,0,0,0,0,0,0.47553999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0.61605,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.076194131947469
8,0,0,0,0,0,0,0,0.8058,0,0,0,0,0,0,0,0,0,0,0,0,0.61037,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.905852902166364
9,0,0,0,0,0,0,0,0.7532800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.62866,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.210232112523775
10,0,0,0,0,0,0,0,2.4736999999999997e-07,0,0,0,0,0,0,0,0,0,0,0,0,0.91735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.996284001151835
11,0,0,0,0,0,0,0,0.2288,0,0,0,0,0,0,0,0,0,0,0,0,0.8175100000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.348743305331773
12,0,0,0,0,0,0,0,0.77322,0,0,0,0,0,0,0,0,0,0,0,0,0.8405299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.584403667554596
13,0,0,0,0,0,0,0,0.93589,0,0,0,0,0,0,0,0,0,0,0,0,0.38092,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.215077853617746
14,0,0,0,0,0,0,0,0.57535,0,0,0,0,0,0,0,0,0,0,0,0,0.06343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.238687952480934
15,0,0,0,0,0,0,0,1.2201,0,0,0,0,0,0,0,0,0,0,0,0,0.6834899999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.971950569172074
16,0,0,0,0,0,0,0,0.44361999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0.65752,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.745282498510786
17,0,0,0,0,0,0,0,3.048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.85167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.948785990271098
18,0,0,0,0,0,0,0,3.1539e-08,0,0,0,0,0,0,0,0,0,0,0,0,0.83635,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.704463902368918
19,0,0,0,0,0,0,0,0.96281,0,0,0,0,0,0,0,0,0,0,0,0,0.6057,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.793457615962645
20,0,0,0,0,0,0,0,0.29083000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0.8368899999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.64284364161055
21,0,0,0,0,0,0,0,0.07674,0,0,0,0,0,0,0,0,0,0,0,0,0.8712700000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.2428500233514
