,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0.0013612,0,0,0,0,0,0,0,0.00023203,0,1.0701,0,0.35284,0.005012300000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.85339654863345
1,0,0,0,0,0,0,0,0.37426,0,0,0,0,0,0,0,2.1254999999999997e-09,0,1.1022,0,0.23048000000000002,0.10815,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.82935690042698
2,0,0,0,0,0,0,0,0.33081,0,0,0,0,0,0,0,1.1337e-09,0,0.81307,0,0.14562999999999998,0.017412,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,35.71621115848655
3,0,0,0,0,0,0,0,3.2999e-09,0,0,0,0,0,0,0,2.8089e-09,0,1.2581,0,0.37608,0.1997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.85724898894586
4,0,0,0,0,0,0,0,1.6781e-07,0,0,0,0,0,0,0,0.00023995,0,1.1894,0,0.23373000000000002,0.039705000000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.55693823517829
5,0,0,0,0,0,0,0,0.039458,0,0,0,0,0,0,0,6.152599999999999e-08,0,0.84372,0,0.4909,0.19352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,40.49780435597038
6,0,0,0,0,0,0,0,9.888e-06,0,0,0,0,0,0,0,0.00062991,0,1.1851,0,0.22960999999999998,0.012098000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.384939971438826
7,0,0,0,0,0,0,0,2.2338e-07,0,0,0,0,0,0,0,1.5224e-07,0,1.2284,0,0.44435,5.3148e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.724097289430325
8,0,0,0,0,0,0,0,0.31795999999999996,0,0,0,0,0,0,0,0.00018173,0,0.9301799999999999,0,0.53862,0.010836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,40.03806259091883
9,0,0,0,0,0,0,0,0.43216000000000004,0,0,0,0,0,0,0,2.9954e-08,0,1.1716,0,2.5019e-08,0.34886999999999996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,35.26532279538721
10,0,0,0,0,0,0,0,0.11877,0,0,0,0,0,0,0,9.6792e-10,0,1.1673,0,0.17267000000000002,0.25394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.858565809453
11,0,0,0,0,0,0,0,0.18533,0,0,0,0,0,0,0,2.8741999999999997e-05,0,1.1818,0,2.5569e-06,0.18964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,34.570529003215555
12,0,0,0,0,0,0,0,0.31012,0,0,0,0,0,0,0,3.3194000000000005e-07,0,0.9979,0,0.43055,1.3232999999999998e-08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.70222596591825
13,0,0,0,0,0,0,0,0.29968,0,0,0,0,0,0,0,4.6179e-09,0,1.0164,0,0.18756,0.16387000000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.69952717662196
14,0,0,0,0,0,0,0,0.29428000000000004,0,0,0,0,0,0,0,8.585199999999999e-10,0,1.3188,0,0.12843,0.01629,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,35.06455953251276
15,0,0,0,0,0,0,0,5.5289999999999994e-09,0,0,0,0,0,0,0,0.00099962,0,0.67865,0,0.7202,0.0061053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,42.380513451923555
16,0,0,0,0,0,0,0,0.11810999999999999,0,0,0,0,0,0,0,4.011e-10,0,1.115,0,0.076065,0.00017417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,34.623371782024044
17,0,0,0,0,0,0,0,0.072898,0,0,0,0,0,0,0,2.5266000000000003e-08,0,1.1271,0,0.24836,0.15934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.321768409686065
18,0,0,0,0,0,0,0,2.5869000000000003e-05,0,0,0,0,0,0,0,4.3697e-07,0,1.0403,0,0.37473,0.1858,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.97507624509311
19,0,0,0,0,0,0,0,0.02048,0,0,0,0,0,0,0,5.5776e-09,0,1.2573,0,0.45596000000000003,6.097899999999999e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.82453551024704
20,0,0,0,0,0,0,0,0.00087399,0,0,0,0,0,0,0,0.00013428,0,1.3214,0,0.3683,0.042311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.97468822709748
21,0,0,0,0,0,0,0,0.13785999999999998,0,0,0,0,0,0,0,1.3695999999999999e-05,0,1.126,0,0.52415,4.9482999999999994e-08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,39.68858361636939
22,0,0,0,0,0,0,0,0.0040420000000000005,0,0,0,0,0,0,0,0.0010708,0,0.9453600000000001,0,0.70895,0.30838000000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,43.42383282872117
23,0,0,0,0,0,0,0,7.6251e-05,0,0,0,0,0,0,0,0.0088265,0,1.0621,0,0.28815999999999997,0.15442999999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.82681357696474
24,0,0,0,0,0,0,0,0.34381,0,0,0,0,0,0,0,0.03968,0,1.0394,0,0.20711999999999997,0.0092652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.166227464903166
