,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25164000000000003,0,0,0,0.76925,0,0,0.013277,0.0015000999999999999,0,0,0.35243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,40.38146786927087
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28483,0,0,0,1.064,0,0,0.0016733,0.11569000000000002,0,0,0.50345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,43.945267679729625
2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.966199999999999e-07,0,0,0,1.3121,0,0,0.0010081,0.11363,0,0,0.30319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,38.316454050015125
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40748,0,0,0,0.75231,0,0,4.0739999999999994e-06,2.7313000000000003e-09,0,0,0.92706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,47.951050901511096
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013937,0,0,0,0.7207899999999999,0,0,0.013577,0.17277,0,0,0.71865,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,45.34567620658179
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019734,0,0,0,1.5569,0,0,4.1016e-08,0.46902,0,0,0.31581,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,45.17145410182577
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019558000000000002,0,0,0,1.0972,0,0,0.21119000000000002,0.015688,0,0,0.27116999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,37.4130216263427
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70377,0,0,0,1.2011,0,0,1.9727999999999998e-07,0.00029306,0,0,0.07560900000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,41.14656136483701
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50098,0,0,0,0.86782,0,0,0.0074322,0.00026742,0,0,0.45852,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,43.80472906369965
9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2991e-05,0,0,0,1.1032,0,0,0.44023999999999996,2.264e-05,0,0,0.32604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,38.27329305923717
