,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0773000000000002e-07,0,0,0,0,0,0,0,0,1.7492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.989279264969243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01686,0,0,0,0,0,0,0,0,1.7539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.012151793666874
2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9184e-08,0,0,0,0,0,0,0,0,1.7788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.133327530809641
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8026e-09,0,0,0,0,0,0,0,0,1.7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.929421370717996
4,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8503e-08,0,0,0,0,0,0,0,0,1.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.683663349605157
5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8045e-07,0,0,0,0,0,0,0,0,1.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.859830485531589
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17878,0,0,0,0,0,0,0,0,1.5888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.208693391969254
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27463000000000004,0,0,0,0,0,0,0,0,1.6436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.475377343592692
8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5474e-09,0,0,0,0,0,0,0,0,1.7256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.874429971934331
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.534e-09,0,0,0,0,0,0,0,0,1.6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.605312772577104
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075708,0,0,0,0,0,0,0,0,1.6186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.353714956903168
11,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7668e-08,0,0,0,0,0,0,0,0,1.8197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.332367195433704
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022369,0,0,0,0,0,0,0,0,1.6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.615532413059023
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36436999999999997,0,0,0,0,0,0,0,0,1.6326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.421845893449301
14,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6084e-08,0,0,0,0,0,0,0,0,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.667117265015381
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2032e-06,0,0,0,0,0,0,0,0,1.7342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.916281832955528
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5208e-07,0,0,0,0,0,0,0,0,1.7698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.089529071601412
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021176,0,0,0,0,0,0,0,0,1.7369999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.929908020264754
18,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7562e-09,0,0,0,0,0,0,0,0,1.7658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.070063089731088
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134,0,0,0,0,0,0,0,0,1.6115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.319162839083342
20,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9285e-07,0,0,0,0,0,0,0,0,1.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.46321110492374
21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8114e-09,0,0,0,0,0,0,0,0,1.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.959106993070241
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12189000000000001,0,0,0,0,0,0,0,0,1.7409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.948887352588322
23,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6004e-08,0,0,0,0,0,0,0,0,1.5992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.259304944832095
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8362e-06,0,0,0,0,0,0,0,0,1.7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.89048940697735
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59804,0,0,0,0,0,0,0,0,1.1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.231436283491101
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75457,0,0,0,0,0,0,0,0,1.4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12.591135117133227
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5624e-07,0,0,0,0,0,0,0,0,1.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.07444293565191
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72444,0,0,0,0,0,0,0,0,0.0022346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.487680063848446
29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4693000000000005e-07,0,0,0,0,0,0,0,0,1.7334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.912388636581463
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2871e-07,0,0,0,0,0,0,0,0,1.6956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.728435107906904
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86154,0,0,0,0,0,0,0,0,0.66581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.716966740346681
32,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2189e-06,0,0,0,0,0,0,0,0,1.7324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.907522141113882
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010327,0,0,0,0,0,0,0,0,1.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.64041635853158
34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.767e-10,0,0,0,0,0,0,0,0,1.7883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.17955923775166
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034178,0,0,0,0,0,0,0,0,1.7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.795106095812763
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011884,0,0,0,0,0,0,0,0,1.8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.242823678830213
37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8609e-09,0,0,0,0,0,0,0,0,1.6708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.607746020310895
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37614000000000003,0,0,0,0,0,0,0,0,1.5411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12.97656155816564
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2134999999999998e-07,0,0,0,0,0,0,0,0,1.7631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.05692355196862
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0927e-07,0,0,0,0,0,0,0,0,1.6585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.547888126059648
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019213,0,0,0,0,0,0,0,0,1.7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.222871047413129
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16985,0,0,0,0,0,0,0,0,1.7853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.164959751348917
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010942,0,0,0,0,0,0,0,0,1.6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.505062965944937
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057346,0,0,0,0,0,0,0,0,1.7311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.901195697006028
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021548,0,0,0,0,0,0,0,0,1.7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.037944219645054
46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2769e-06,0,0,0,0,0,0,0,0,1.6714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.610665917591442
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7832e-07,0,0,0,0,0,0,0,0,1.7148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.821871820884459
48,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5252999999999999e-09,0,0,0,0,0,0,0,0,1.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.156200059507272
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012952000000000002,0,0,0,0,0,0,0,0,1.7116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.806299035388198
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016888999999999998,0,0,0,0,0,0,0,0,1.6613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.561514313368875
51,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9538e-08,0,0,0,0,0,0,0,0,1.6911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.706535878302788
52,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8594e-07,0,0,0,0,0,0,0,0,1.6942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.721622014252288
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9787399999999999,0,0,0,0,0,0,0,0,0.9073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.892176730812814
54,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1144e-08,0,0,0,0,0,0,0,0,1.7186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.840364503661265
55,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5034e-09,0,0,0,0,0,0,0,0,1.7925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.1999985187155
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010124,0,0,0,0,0,0,0,0,1.6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.687069896432464
57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1489000000000001e-05,0,0,0,0,0,0,0,0,1.6698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.602879524843313
