,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2203e-07,0,0,0,0,0,0,1.7492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.920726008798493
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4497e-08,0,0,0,0,0,0,1.7543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.945545135683156
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1388e-09,0,0,0,0,0,0,1.7788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.064774274638893
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043114,0,0,0,0,0,0,1.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.604403803405729
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6620999999999998e-05,0,0,0,0,0,0,1.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.615110093434406
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6849e-10,0,0,0,0,0,0,1.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.791277229360839
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8243e-08,0,0,0,0,0,0,1.7415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.88325399369812
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023584,0,0,0,0,0,0,1.6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.513886987708723
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1234e-10,0,0,0,0,0,0,1.7256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.805876715763581
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3763e-05,0,0,0,0,0,0,1.6698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.534326268672563
