,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0683,0,0.35299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,35.84215415558468
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0917,0,0.080496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,32.80936803341153
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8821899999999999,0,0.43087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,36.78893523818984
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1757,0,0.47711000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,37.17093922510928
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1802,0,0.28115999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,34.99556365139391
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70652,0,0.91951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,42.286984643051575
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1885,0,0.23317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,34.45958442697956
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2283,0,0.44438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,36.78446386751677
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0585,0,0.66878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,39.34909189778471
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1122,0,2.2061e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31.907435174957705
