,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2797,1.4079e-09,1.4913e-05,1.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.09160218373043
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30227,0.09489600000000001,0.0081031,1.6314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.681309024335768
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11818,0.0023190999999999997,0.0063902,1.8714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.139483724754047
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47343,0.0042718999999999995,4.4982e-09,1.5293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.823699482660002
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020515999999999998,0.12027,1.8823e-08,1.6448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.869774281231667
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6396e-09,1.4375e-08,3.9875e-09,1.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.37902721825718
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30119,0.13854,0.1878,1.3641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,19.974026513793717
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44111999999999996,0.013906,0.093686,1.5945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,17.11645193873472
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029589000000000004,0.013749,1.181e-06,1.7214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.579437055036884
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9543e-05,0.10872000000000001,0.0011223,1.5966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.537074223248382
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34279,0.050069999999999996,1.2265999999999999e-05,1.5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.370231455310744
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.709600000000001e-05,0.13787,0.0022866,1.7201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,17.464002979770523
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21414,1.12e-07,1.6099e-06,1.8533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.92966944964459
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076135,0.35775999999999997,1.6155e-05,1.5744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,20.12933910560366
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41877,8.812799999999999e-07,2.2983000000000003e-05,1.4087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.288042051126236
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39481,0.00050992,0.00014656,1.6541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.22649882558924
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46088,0.007803699999999999,3.7880000000000003e-07,1.5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.094644985527038
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4469e-07,0.0007029,2.6951e-10,1.7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.331977631432046
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42783999999999994,0.22757,4.2711e-08,1.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,17.770177489867734
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24706999999999998,0.006582500000000001,2.1728e-08,1.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.85492117641943
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8211999999999996e-09,0.0016555,1.9322e-08,1.6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.09979645396629
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12415,0.00027808,4.1071000000000004e-09,1.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.944237017401342
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36307,0.012506,0.016772,1.6640000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.773363840061625
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44709,0.19966,6.7678000000000006e-09,1.5048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,17.626124341730097
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42818999999999996,3.6146e-08,0.00082116,1.5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.720099179405747
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3495999999999999e-08,4.1999e-09,1.8015e-08,1.7393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.442608952286049
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071275,0.42526,2.5899000000000002e-08,1.2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,19.909430481238907
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42203999999999997,1.0477e-05,2.2004e-08,1.5919999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.98640054264037
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30446999999999996,0.16393,0.1962,1.5787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,21.340214660599177
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18777,0.19813,0.022222,1.7517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,18.932144329301313
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26665,1.6609e-05,5.1613e-06,1.8253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.836378422382047
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38987,0.086476,7.2545e-07,1.4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.670366956584093
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60626,0.011821,1.0247999999999999e-05,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,13.239265304721402
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3776e-07,0.00039813,0.00032367,1.8838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.005271179821634
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.675700000000001e-10,4.4208999999999996e-08,0.00015673,1.7885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.63312172497304
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8633e-09,0.094182,1.1607000000000001e-09,1.7351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.825562259525963
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38587,0.19097,0.00012684,1.6742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,18.129433733619372
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067506,5.6885e-09,5.401100000000001e-09,1.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.241158206777175
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3738,0.30685999999999997,0.053628999999999996,1.2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,19.427530804232422
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31284,0.010467,4.3319e-09,1.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.37739454149053
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17234000000000002,0.25586,9.0215e-06,1.4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,18.238129113802543
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.0063165,0.021665,1.9374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,16.792841626555667
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4136e-09,0.18350999999999998,6.850199999999999e-09,1.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,17.457197609767075
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35164,0.0011426,7.634300000000001e-07,1.4499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.444794191832194
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028612000000000002,0.35996999999999996,1.4724000000000002e-05,1.5907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,20.231087752653067
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36774,0.004640999999999999,3.0936999999999998e-09,1.6078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.10189683814455
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41873999999999995,3.7621e-08,0.00080447,1.5569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,14.868188648845509
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26508000000000004,3.0249999999999998e-09,1.0804e-05,1.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.442566063209814
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30396999999999996,0.0038149,0.0036451,1.7487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,15.684580735426001
