,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8798000000000003e-09,0,0,0,1.3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4807,0,0,0,0.92795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19386,0,0,0,1.0949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0067e-05,0,0,0,1.2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040574,0,0,0,0.71283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5758800000000001,0,0,0,0.9167299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5591,0,0,0,0.60578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014112000000000001,0,0,0,0.84167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33623000000000003,0,0,0,1.2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2769000000000002e-05,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53301,0,0,0,0.44028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032693,0,0,0,1.5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0738e-07,0,0,0,1.3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3688e-07,0,0,0,0.52704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40936,0,0,0,0.6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042933,0,0,0,1.2990000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1289,0,0,0,1.2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056313999999999996,0,0,0,1.3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4826e-08,0,0,0,1.1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003007,0,0,0,1.1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5881e-05,0,0,0,0.93184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5169,0,0,0,0.47365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085807,0,0,0,1.3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2583000000000003e-07,0,0,0,1.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39155999999999996,0,0,0,1.2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79083,0,0,0,0.79335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3676e-06,0,0,0,1.0671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8786e-09,0,0,0,1.0956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.142699999999999e-07,0,0,0,1.2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5875921632739907
