,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13210999999999998,1.0561,0,0.45758999999999994,0,0.019882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,37.06295608088052
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047452,1.1657,0,0.043414,0,0.032719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,32.63880332920507
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45947,0.64774,0,0.48922,0,0.0021763999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,37.61933335363297
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43535,1.2961,0,0.60155,0,5.0881e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,37.69804060056726
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008312799999999999,1.0895,0,0.21616,0,0.28924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,41.81838964638658
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36253,1.1267,0,0.59523,0,0.26971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,45.416156111429046
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021945,1.2521,0,0.053697,0,0.16585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,36.30730897300095
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25183,1.1544,0,0.54085,0,0.07838099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,39.44517301214829
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12778,1.0502,0,0.65894,0,0.022462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,39.37804738099531
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033638,1.0322,0,2.416e-05,0,0.15814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,35.87342239425382
