,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15220999999999998,1.0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.465823545792013
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011519,1.1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.363376484358085
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43146999999999996,0.59391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.857117981784132
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11875999999999999,1.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.3703656914218
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002157,1.1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.344983834190415
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26575,1.1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.38103342851905
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024708,1.1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.366779124639105
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4578e-05,1.3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.186071336741737
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37275,0.95529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.524781185904484
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2205,1.0239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.461685199504288
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033379,1.1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.33404020734065
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030816,1.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.319969829962382
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64684,0.8963700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.57896593329844
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023392,1.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.481365335183696
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31935,1.0837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.40669117550295
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33935,0.8604299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.612017525649748
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023788999999999998,0.89233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.582681248632312
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.941799999999999e-06,1.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.461869126005965
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039147,0.95281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.527061874525273
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058241000000000005,1.1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.34194904691275
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024247,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.391701165616297
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19307,1.1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.38820656208444
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17506,1.1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.3569390567994
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008585899999999999,1.1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.378642383997253
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49576000000000003,0.9079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.56836257047678
