,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62038,0.21416999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034088,0.68865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014747999999999999,0.71565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010057,0.50568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.062e-06,0.60138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038579,0.65371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64404,0.10759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54719,0.22682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6395e-05,0.6128100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2215e-05,0.6824899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71472,0.48707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017631,0.70962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025654,0.67192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024954,0.6124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057115,0.51835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6382e-08,0.78323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0087999999999999e-08,0.72342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035755,0.71954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010147,0.8387600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25836,0.52969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050151,0.74662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4445e-06,0.71033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.784208617648166
