,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4084e-06,0,0,0,0.79611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.1864369567810038
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41899,0,0,0,0.95637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.868585477364338
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80952,0,0,0,0.00066792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.096912928382613
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87434,0,0,0,0.00019407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14.130688017044184
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41043,0,0,0,0.9877799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.732067199688574
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8382700000000001,0,0,0,0.7993899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.555429339968855
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91619,0,0,0,0.015064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14.798128428344503
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40026999999999996,0,0,0,0.7177600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.570031486933226
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13994,0,0,0,0.8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.4181853155159594
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74402,0,0,0,0.16879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12.052292929812213
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10013999999999999,0,0,0,0.69063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.7834391179113513
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72195,0,0,0,0.30821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.700311809683225
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43754,0,0,0,0.57652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.164428240318244
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64586,0,0,0,1.4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10.486798287679845
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1311,0,0,0,1.0364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.22559841144013
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36083000000000004,0,0,0,1.1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.941026712221527
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79437,0,0,0,0.20472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12.85529471497282
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5489999999999999,0,0,0,0.59339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.942036561549637
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19401,0,0,0,0.69552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.2805151372365895
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13853,0,0,0,0.8594200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.395698075852077
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58133,0,0,0,0.47698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.457648234126445
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1332,0,0,0,0.74174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.3106931202432195
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46638,0,0,0,0.75227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.624380007627714
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89415,0,0,0,0.89812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14.446625760123263
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88554,0,0,0,0.00062241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14.309310062601261
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95914,0,0,0,0.17743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.48311207626204
