,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0557e-08,0,0,0,0,0,0,0,0.8670899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5232600000000001,0,0,0,0,0,0,0,0.6843199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47602,0,0,0,0,0,0,0,0.94294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029841,0,0,0,0,0,0,0,0.9028799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066101,0,0,0,0,0,0,0,0.85014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9486999999999997e-05,0,0,0,0,0,0,0,0.9167799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4442e-09,0,0,0,0,0,0,0,0.82815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0454,0,0,0,0,0,0,0,0.60442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18782000000000001,0,0,0,0,0,0,0,0.85215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030839999999999996,0,0,0,0,0,0,0,0.8799100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4651104573649591
