,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0.4248,0,0,0,0,0,0,0,0.70436,0,0,0.0064676,0,0,0,0.38066,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,22.2987768426833
1,0,0,0,0,0,0,0,0,0,0.063039,0,0,0,0,0,0,0,0.86208,0,0,0.010248,0,0,0,0.66332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,23.143433988185436
2,0,0,0,0,0,0,0,0,0,0.00010112,0,0,0,0,0,0,0,1.2395,0,0,0.0010172,0,0,0,0.38406999999999997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,21.270123802213618
3,0,0,0,0,0,0,0,0,0,0.12414000000000001,0,0,0,0,0,0,0,0.74705,0,0,5.7178e-05,0,0,0,0.70727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,23.42969837143515
4,0,0,0,0,0,0,0,0,0,0.08505,0,0,0,0,0,0,0,0.79661,0,0,0.025671,0,0,0,0.5736399999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,23.063100551933836
5,0,0,0,0,0,0,0,0,0,0.23339000000000001,0,0,0,0,0,0,0,0.92616,0,0,0.0021728999999999997,0,0,0,0.63062,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,22.820343780711724
6,0,0,0,0,0,0,0,0,0,0.0044253,0,0,0,0,0,0,0,1.0685,0,0,0.2145,0,0,0,0.25279,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,23.118937095847375
7,0,0,0,0,0,0,0,0,0,0.1337,0,0,0,0,0,0,0,1.28,0,0,1.0526e-06,0,0,0,0.27892,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,20.77622378565809
8,0,0,0,0,0,0,0,0,0,0.47168999999999994,0,0,0,0,0,0,0,0.6886800000000001,0,0,0.010201,0,0,0,0.49483999999999995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,22.807928838732074
9,0,0,0,0,0,0,0,0,0,1.4719999999999999e-09,0,0,0,0,0,0,0,1.1037,0,0,0.44014,0,0,0,0.32865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,25.508986893365257
