,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,1.5594e-05,0,0.43956999999999996,0.38403000000000004,0.0016319000000000004,0,2.3972e-07,1.0353e-07,1.0255,0,0.0012104000000000001,0.0032561,1.1435e-07,0.033644,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.125265687943855
1,0,0,0,0,0,0,0,0,0,0.10704000000000001,0,0.35785,0.15844,0.24864,0,2.3786e-09,5.7997e-05,1.085,0,0.10053,0.001766,2.3092e-06,0.24800999999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,28.86726241037478
2,0,0,0,0,0,0,0,0,0,0.013899000000000002,0,0.21006,0.45746000000000003,3.1278e-11,0,1.9847e-10,4.0476e-07,1.0601,0,4.5999e-06,0.00020041,0.00057554,0.45211,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.40339767254282
3,0,0,0,0,0,0,0,0,0,0.00013515,0,0.40010999999999997,0.3897,0.00016929,0,4.8738e-11,0.0029919,0.86606,0,0.003921,0.00065448,1.4049e-06,0.33221,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.74933494605694
4,0,0,0,0,0,0,0,0,0,0.22436,0,0.17852,0.33088,2.7004999999999998e-11,0,5.405300000000001e-08,0.00093241,1.2371,0,0.012803,1.9876e-06,8.512899999999999e-07,0.41058,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.110970213155735
5,0,0,0,0,0,0,0,0,0,0.18822,0,0.12144,0.20665,1.4388e-09,0,2.4978e-11,0.039320999999999995,1.2249,0,0.00031184,5.601699999999999e-10,3.3304e-08,0.56817,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.14571246106834
6,0,0,0,0,0,0,0,0,0,0.00035204,0,0.32078,0.025977999999999998,2.3528000000000002e-05,0,1.504e-08,0.07068200000000001,1.0022,0,0.09174299999999999,2.5622e-05,0.00076156,0.41703,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,26.538623887460272
7,0,0,0,0,0,0,0,0,0,0.00033783,0,0.0097537,4.5072e-10,0.47563,0,2.1016e-10,1.0307999999999999e-08,1.0455,0,0.11635999999999999,4.6587e-08,5.497e-07,0.7864399999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,31.97658340604063
8,0,0,0,0,0,0,0,0,0,0.15839,0,0.34743,0.11048,4.4890999999999995e-08,0,3.4529e-06,0.075688,0.9606299999999999,0,0.15105,0.00021638,3.0196e-07,0.66427,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,27.522474122549905
9,0,0,0,0,0,0,0,0,0,2.249e-10,0,0.25954,0.018984,1.0323e-07,0,7.2707e-09,0.00095359,1.1533,0,9.898899999999999e-08,0.15642,1.5995e-07,0.9099,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,26.948884896566575
10,0,0,0,0,0,0,0,0,0,7.7327e-05,0,0.05556799999999999,0.28936999999999996,0.012931,0,1.7125999999999999e-09,0.080964,0.86292,0,0.076938,0.0034568000000000003,1.2591e-06,0.58181,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,26.977209422054536
11,0,0,0,0,0,0,0,0,0,2.2654e-09,0,0.25296,0.5528,4.2488000000000005e-09,0,5.2357000000000005e-06,0.0013294000000000001,0.97511,0,1.6475999999999998e-08,0.037969,8.278700000000001e-06,0.48328999999999994,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.92632326444226
12,0,0,0,0,0,0,0,0,0,0.31914000000000003,0,2.1968e-10,0.0021531999999999996,2.8529e-08,0,2.1306999999999996e-11,2.9773e-05,0.9618700000000001,0,0.041919,1.1650999999999998e-09,6.15e-08,0.8979600000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,26.502796854221884
13,0,0,0,0,0,0,0,0,0,0.19518,0,0.36118,0.11665999999999999,3.5966e-05,0,4.1161999999999994e-11,0.12462999999999999,1.1546,0,0.13760999999999998,0.00018519,2.0739000000000002e-11,0.59259,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,26.880469659798447
14,0,0,0,0,0,0,0,0,0,0.20636,0,0.10007,0.58911,0.47326999999999997,0,7.8517e-15,0.17502,0.9814200000000001,0,1.1971e-09,1.5452e-05,3.4461e-09,0.3769,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,30.382606428116326
15,0,0,0,0,0,0,0,0,0,0.0068574,0,2.3674e-05,0.8569700000000001,1.7501e-06,0,4.2101000000000004e-13,0.65561,0.11590999999999999,0,0.45143999999999995,0.8287100000000001,5.3893000000000005e-08,0.4334,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,39.56825842755332
16,0,0,0,0,0,0,0,0,0,1.2305e-06,0,0.33037,0.27331,5.0470000000000005e-09,0,7.2908e-11,0.00075841,0.90476,0,0.00046457,0.00016675,2.3947e-05,0.51737,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,25.796740054001766
