,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,2.5639e-08,0.31840999999999997,0.7621899999999999,0,1.391e-08,0.06456,4.7979e-08,0,0,0.12563,0,2.6364e-06,3.4639e-05,1.0448,0,0.03721,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,5.287961073000869
1,0,0,0,0,0,0,0,0,0,0.20079,0.0018324,0.65566,0,0.25938,0.13978,2.0651999999999996e-11,0,0,4.4483e-05,0,0.013699000000000001,4.5271e-05,0.97175,0,0.016819999999999998,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,8.51976566054001
2,0,0,0,0,0,0,0,0,0,0.05304,2.7182e-06,1.3304e-07,0,1.8169000000000002e-10,0.19433,1.5102e-11,0,0,0.0042669,0,0.05107,0.084137,1.4898,0,0.22052,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,10.265216993600662
3,0,0,0,0,0,0,0,0,0,0.3594,5.5902e-07,0.46479,0,3.9926999999999996e-10,7.985100000000001e-10,0.001039,0,0,7.3316e-11,0,0.00015349,2.9946e-09,1.5848,0,2.325e-09,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,5.593233400021056
4,0,0,0,0,0,0,0,0,0,1.0643e-05,1.7989000000000003e-09,0.47548,0,1.9995e-09,1.0766e-09,2.7382e-10,0,0,4.6391000000000004e-05,0,0.26066999999999996,1.8972e-08,1.3695,0,0.098493,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,10.979065492824377
5,0,0,0,0,0,0,0,0,0,0.064473,0.00084674,0.58026,0,9.849500000000001e-08,7.173e-07,7.670299999999999e-10,0,0,1.4571e-07,0,8.870900000000001e-10,5.4889e-09,1.2643,0,0.12108,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,5.781610207239634
6,0,0,0,0,0,0,0,0,0,1.0272000000000001e-05,0.22269,0.60645,0,0.093082,1.1140999999999998e-07,9.083e-13,0,0,5.008e-06,0,0.00015492,8.1038e-08,1.1618,0,0.06779,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,6.201966640290708
7,0,0,0,0,0,0,0,0,0,0.00050426,0.7856,0.06897400000000001,0,0.073254,0.19027,2.8322e-07,0,0,0.24263,0,6.7699e-06,4.869e-05,1.7883,0,0.43283,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,10.98174325921741
8,0,0,0,0,0,0,0,0,0,0.12772,1.3536e-06,0.4441,0,2.8375000000000003e-10,9.1082e-07,4.7826000000000004e-09,0,0,1.4143000000000002e-06,0,0.0010161,5.976300000000001e-07,1.4868,0,0.0016972,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,5.436041479105951
9,0,0,0,0,0,0,0,0,0,0.0099375,2.7609000000000003e-07,0.35849000000000003,0,0.00037714,0.0032575000000000004,3.4127e-08,0,0,5.0782e-08,0,0.4843,5.9582e-08,1.0446,0,0.37968,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,16.660752841395134
