,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,3.1749999999999996e-08,0.13233,0,0,0,0,0,0,0,0,0,0,0,1.7835,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.450700734219023
1,0,0,0,0,0,0,0,0,0,0.22978,2.7451e-05,0,0,0,0,0,0,0,0,0,0,0,1.6208,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.142862897335966
2,0,0,0,0,0,0,0,0,0,0.074197,1.3169e-07,0,0,0,0,0,0,0,0,0,0,0,1.7603,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.406804988578659
3,0,0,0,0,0,0,0,0,0,0.08198899999999999,3.6915999999999995e-07,0,0,0,0,0,0,0,0,0,0,0,1.7751,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.434807447004409
4,0,0,0,0,0,0,0,0,0,7.2013e-06,9.1257e-09,0,0,0,0,0,0,0,0,0,0,0,1.6864,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.266981902250092
5,0,0,0,0,0,0,0,0,0,0.18364,9.7092e-06,0,0,0,0,0,0,0,0,0,0,0,1.7189,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.328473787306634
6,0,0,0,0,0,0,0,0,0,0.0014732,0.19157000000000002,0,0,0,0,0,0,0,0,0,0,0,1.7731,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.431023331000927
7,0,0,0,0,0,0,0,0,0,0.096285,0.10692,0,0,0,0,0,0,0,0,0,0,0,1.7102,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.312012882691498
8,0,0,0,0,0,0,0,0,0,0.30156,1.6954e-06,0,0,0,0,0,0,0,0,0,0,0,1.5907,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.085911951483601
9,0,0,0,0,0,0,0,0,0,0.026786,3.3625e-08,0,0,0,0,0,0,0,0,0,0,0,1.6701,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.236141356821735
10,0,0,0,0,0,0,0,0,0,1.4889e-10,5.2161e-07,0,0,0,0,0,0,0,0,0,0,0,1.619,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.139457192932834
