,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0.00029022,0,0,0.5137,0,0,0,0,1.0743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
1,0,0,0,0,0,0,0,0,0,0.39776999999999996,0,0,0.69212,0,0,0,0,0.9815299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
2,0,0,0,0,0,0,0,0,0,0.15879000000000001,0,0,0.66223,0,0,0,0,1.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
3,0,0,0,0,0,0,0,0,0,6.2776e-06,0,0,0.47781999999999997,0,0,0,0,0.95424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
4,0,0,0,0,0,0,0,0,0,0.31714000000000003,0,0,0.53598,0,0,0,0,1.3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
5,0,0,0,0,0,0,0,0,0,0.26523,0,0,0.40705,0,0,0,0,1.2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
6,0,0,0,0,0,0,0,0,0,0.10897000000000001,0,0,0.17592,0,0,0,0,1.3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
7,0,0,0,0,0,0,0,0,0,0.26153000000000004,0,0,2.7153000000000002e-05,0,0,0,0,1.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
8,0,0,0,0,0,0,0,0,0,0.23746,0,0,0.18500999999999998,0,0,0,0,0.79798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
9,0,0,0,0,0,0,0,0,0,3.6398e-09,0,0,0.57767,0,0,0,0,1.1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
