,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,6.7641e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.7492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.356126760942008
1,0,0,0,0,0,0,0,0,0,0.22969,0,0,0,0,0,0,0,0,0,0,0,0,1.6208,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.09798957436664
2,0,0,0,0,0,0,0,0,0,0.08023200000000001,0,0,0,0,0,0,0,0,0,0,0,0,1.7586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.37502465466326
3,0,0,0,0,0,0,0,0,0,0.094137,0,0,0,0,0,0,0,0,0,0,0,0,1.7814,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.420862099008417
4,0,0,0,0,0,0,0,0,0,7.3008000000000005e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.6864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.229872747570255
5,0,0,0,0,0,0,0,0,0,0.18384,0,0,0,0,0,0,0,0,0,0,0,0,1.7186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.294608085636664
6,0,0,0,0,0,0,0,0,0,0.004197,0,0,0,0,0,0,0,0,0,0,0,0,1.7414,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.340445529981825
7,0,0,0,0,0,0,0,0,0,0.096636,0,0,0,0,0,0,0,0,0,0,0,0,1.6946,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.246358144220707
8,0,0,0,0,0,0,0,0,0,0.30156,0,0,0,0,0,0,0,0,0,0,0,0,1.5907,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.037476106174129
9,0,0,0,0,0,0,0,0,0,0.028732999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1.6695,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.19589674715652
10,0,0,0,0,0,0,0,0,0,1.6654000000000003e-09,0,0,0,0,0,0,0,0,0,0,0,0,1.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.094370828760443
