,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,5.6322e-10,0,0,0,0,0,6.3349e-12,0,1.046,0,0,0,2.1606e-06,0.8015899999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.825181876959853
1,0,0,0,0,0,0,0,0,0,0.17756,0,0,0,0,0,2.7324e-08,0,1.1036,0,0,0,2.7208e-05,0.8592299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.92196901161023
2,0,0,0,0,0,0,0,0,0,4.1359e-06,0,0,0,0,0,4.0815e-09,0,1.1006,0,0,0,9.929700000000001e-05,0.77628,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.758240518638452
3,0,0,0,0,0,0,0,0,0,0.00031606,0,0,0,0,0,6.6365e-11,0,1.0148,0,0,0,2.1169e-09,0.83178,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.89653565891677
4,0,0,0,0,0,0,0,0,0,0.12465999999999999,0,0,0,0,0,2.5088e-05,0,1.1194,0,0,0,1.2358e-08,0.8602200000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.91777464957561
5,0,0,0,0,0,0,0,0,0,0.18116,0,0,0,0,0,2.8463e-11,0,1.2252,0,0,0,2.8407e-08,0.74993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.65969675160977
6,0,0,0,0,0,0,0,0,0,0.02506,0,0,0,0,0,4.384600000000001e-11,0,1.0933,0,0,0,1.0206e-05,0.75326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.71199139959987
7,0,0,0,0,0,0,0,0,0,0.15795,0,0,0,0,0,5.3625e-09,0,1.0115,0,0,0,3.752e-06,0.90041,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28.03574844687666
8,0,0,0,0,0,0,0,0,0,0.22324000000000002,0,0,0,0,0,2.3691999999999995e-07,0,1.0975,0,0,0,7.185099999999999e-07,0.78575,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.77560293294508
9,0,0,0,0,0,0,0,0,0,1.3883e-09,0,0,0,0,0,3.0566e-07,0,1.2275,0,0,0,8.3856e-06,0.9286399999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28.018420063078388
10,0,0,0,0,0,0,0,0,0,0.0008554999999999999,0,0,0,0,0,8.6503e-10,0,1.0087,0,0,0,6.667699999999999e-07,0.7747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.783895477705432
11,0,0,0,0,0,0,0,0,0,1.108e-07,0,0,0,0,0,9.4127e-09,0,1.3851,0,0,0,3.1284e-08,0.9177200000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.942087310969917
12,0,0,0,0,0,0,0,0,0,0.2987,0,0,0,0,0,1.6021e-10,0,0.96909,0,0,0,5.3387e-07,0.8629700000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.974959873371226
13,0,0,0,0,0,0,0,0,0,0.40389,0,0,0,0,0,1.5768000000000002e-10,0,1.1758,0,0,0,1.3484e-07,0.93209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28.042889149543484
14,0,0,0,0,0,0,0,0,0,0.25794,0,0,0,0,0,1.2327e-07,0,1.2346,0,0,0,5.7109e-09,0.8349200000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.827331662778086
15,0,0,0,0,0,0,0,0,0,0.30496999999999996,0,0,0,0,0,4.2945000000000005e-08,0,1.0261,0,0,0,0.00028072,0.6079100000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.45038810042101
16,0,0,0,0,0,0,0,0,0,6.0642e-05,0,0,0,0,0,1.5471999999999998e-10,0,1.0454,0,0,0,1.6582e-05,0.65696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.535022841020407
17,0,0,0,0,0,0,0,0,0,5.0195e-08,0,0,0,0,0,2.2499000000000002e-10,0,1.1844,0,0,0,8.767200000000001e-09,0.83586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.84646877643401
18,0,0,0,0,0,0,0,0,0,2.0476e-09,0,0,0,0,0,3.8713e-11,0,1.2154,0,0,0,6.1093e-09,0.7065600000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.575871457524684
19,0,0,0,0,0,0,0,0,0,0.040723,0,0,0,0,0,1.3634999999999998e-11,0,1.0893,0,0,0,2.6152e-07,0.8667299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.941210847063886
20,0,0,0,0,0,0,0,0,0,0.0003126,0,0,0,0,0,1.7705e-06,0,1.1935,0,0,0,4.1217999999999996e-09,0.8412299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.854138080061077
21,0,0,0,0,0,0,0,0,0,1.5413999999999998e-06,0,0,0,0,0,4.3985000000000004e-10,0,0.9888899999999999,0,0,0,9.5797e-06,0.8064899999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.854860528949953
22,0,0,0,0,0,0,0,0,0,0.13623,0,0,0,0,0,0.020713,0,1.1871,0,0,0,4.2475e-06,0.72255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.617858971117045
23,0,0,0,0,0,0,0,0,0,7.025600000000001e-09,0,0,0,0,0,0.0028616999999999996,0,1.1955,0,0,0,7.314e-09,0.76008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.690305913409546
24,0,0,0,0,0,0,0,0,0,5.5163e-08,0,0,0,0,0,5.7785e-07,0,1.0516,0,0,0,7.076100000000001e-07,0.73085,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.681000774975573
25,0,0,0,0,0,0,0,0,0,0.0008201,0,0,0,0,0,5.2146000000000005e-05,0,1.0855,0,0,0,2.784e-09,0.63261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.471831041518623
26,0,0,0,0,0,0,0,0,0,2.6221999999999997e-05,0,0,0,0,0,0.00024441,0,1.0483,0,0,0,0.059842,0.8764200000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,29.63886105325872
27,0,0,0,0,0,0,0,0,0,0.26298,0,0,0,0,0,2.3268e-05,0,1.1273,0,0,0,1.0973e-09,0.8639399999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.922538870376275
28,0,0,0,0,0,0,0,0,0,0.042055,0,0,0,0,0,2.5504e-11,0,1.1386,0,0,0,1.0370999999999998e-07,0.87234,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.935546856638737
29,0,0,0,0,0,0,0,0,0,1.9753e-05,0,0,0,0,0,0.00014588,0,1.0058,0,0,0,8.7316e-05,0.7884899999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.81502499168377
30,0,0,0,0,0,0,0,0,0,1.1523e-05,0,0,0,0,0,5.3137e-12,0,1.0383,0,0,0,1.6061000000000002e-06,0.9260299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28.077987896509782
31,0,0,0,0,0,0,0,0,0,0.0010349,0,0,0,0,0,1.5629e-09,0,1.3109,0,0,0,5.444e-09,1.0007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28.13440369624196
32,0,0,0,0,0,0,0,0,0,0.47976,0,0,0,0,0,7.5501e-12,0,1.1311,0,0,0,8.9662e-06,0.40825,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.005356946119242
33,0,0,0,0,0,0,0,0,0,0.22169,0,0,0,0,0,6.7005e-08,0,1.2728,0,0,0,2.063e-08,0.63398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.41023504989665
34,0,0,0,0,0,0,0,0,0,0.056202999999999996,0,0,0,0,0,3.3618000000000004e-07,0,1.0962,0,0,0,5.2293e-05,0.75108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.707782700122035
35,0,0,0,0,0,0,0,0,0,0.0020213,0,0,0,0,0,4.6565e-11,0,1.2876,0,0,0,2.4904e-09,0.8529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.845269584294847
36,0,0,0,0,0,0,0,0,0,0.0050967,0,0,0,0,0,2.8883e-05,0,1.0961,0,0,0,7.2324e-06,0.8201200000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.845363007257486
37,0,0,0,0,0,0,0,0,0,4.5938e-05,0,0,0,0,0,2.2422999999999998e-10,0,0.91489,0,0,0,3.9731e-08,0.8218700000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.910939628956854
38,0,0,0,0,0,0,0,0,0,1.8700000000000003e-10,0,0,0,0,0,0.029429000000000004,0,1.2663,0,0,0,0.005118600000000001,0.7993600000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.887288346220792
39,0,0,0,0,0,0,0,0,0,2.7681999999999997e-05,0,0,0,0,0,1.9179e-09,0,1.1602,0,0,0,5.1429000000000003e-08,0.8426299999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,27.868394873277357
