,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,1.0808e-07,0,0,0,0,0,0,0,0,0,0,0,4.1976000000000006e-05,1.7492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.012687762276181
1,0,0,0,0,0,0,0,0,0,0.23431999999999997,0,0,0,0,0,0,0,0,0,0,0,0.0051538,1.6184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.891875511205566
2,0,0,0,0,0,0,0,0,0,0.099298,0,0,0,0,0,0,0,0,0,0,0,0.042706,1.7513,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10.203313547861965
3,0,0,0,0,0,0,0,0,0,0.089906,0,0,0,0,0,0,0,0,0,0,0,3.7439e-09,1.7792,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.071833021856552
4,0,0,0,0,0,0,0,0,0,8.6659e-06,0,0,0,0,0,0,0,0,0,0,0,2.4455e-08,1.6864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.885267157650443
5,0,0,0,0,0,0,0,0,0,0.18344000000000002,0,0,0,0,0,0,0,0,0,0,0,1.2189e-08,1.7189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.950605278890837
6,0,0,0,0,0,0,0,0,0,0.003959000000000001,0,0,0,0,0,0,0,0,0,0,0,9.3539e-06,1.7417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.99670249813463
7,0,0,0,0,0,0,0,0,0,0.09881799999999999,0,0,0,0,0,0,0,0,0,0,0,0.0011864,1.6954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.93635169292673
8,0,0,0,0,0,0,0,0,0,0.30157,0,0,0,0,0,0,0,0,0,0,0,3.411e-05,1.5907,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.693818369275803
9,0,0,0,0,0,0,0,0,0,0.022972,0,0,0,0,0,0,0,0,0,0,0,0.0027083000000000003,1.6699,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.927407222981568
10,0,0,0,0,0,0,0,0,0,3.3766000000000005e-10,0,0,0,0,0,0,0,0,0,0,0,5.832e-05,1.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.751386325094863
11,0,0,0,0,0,0,0,0,0,3.4386999999999996e-08,0,0,0,0,0,0,0,0,0,0,0,0.0044547,1.8179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.273512531587897
12,0,0,0,0,0,0,0,0,0,0.25071,0,0,0,0,0,0,0,0,0,0,0,0.0001165,1.5683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.651076197025116
13,0,0,0,0,0,0,0,0,0,0.48978999999999995,0,0,0,0,0,0,0,0,0,0,0,4.8804e-06,1.6557,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.823682475352538
