,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44898000000000005,0,0,1.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13724,0,0,1.1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37605,0,0,0.63554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008352600000000002,0,0,1.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23961999999999997,0,0,1.0781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16604000000000002,0,0,1.2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15788,0,0,1.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.024600000000001e-10,0,0,1.3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32735,0,0,0.79938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16610999999999998,0,0,0.9539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048957,0,0,1.1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019140000000000002,0,0,1.1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.698e-05,0,0,0.9053700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30580999999999997,0,0,1.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.40983128691109
