,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27869,9.1617e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4964941285647964
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33526999999999996,0.00052531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.9089082378492583
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21708000000000002,0.012173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.047416127981274
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20465999999999998,0.068926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.956886201552977
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29084,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.585056013114217
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29502,0.0013432000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6155242170168163
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.00056318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.411285204253461
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25104,0.0057225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.294952062079901
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30069,0.007072800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6568530964732124
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2747,0.16185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4674108430214066
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26655999999999996,0.00060227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4080780248952927
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31256,0.00026682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7433740487037985
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30294,0.0041004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6732534454638457
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28618000000000005,0.0016683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5510890680936167
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29385,0.0023995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6069960355416866
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29408,0.0020277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6086725156607296
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31413,0.000583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.754817847777263
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23399999999999999,0.13104000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.170746752390837
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27960999999999997,0.0036746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5032000490409665
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2999,0.056790999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6510947517165007
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2489,0.005672600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.27935350792881
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25292,0.008223000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.308655464792075
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25718,0.032951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3397067922143413
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26268,0.012734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.379796534191445
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29666,0.009379799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6274782491699886
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3153,0.0078983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7633460292523924
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22562,0.28622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.1096645637057225
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31840999999999997,0.021419999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7860149560794456
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29143,0.0012097000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.589356549071761
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26513000000000003,0.041489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.397654691981246
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26526,0.00067217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3986022677007046
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30287,0.008648000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.672743212384137
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30691,0.0027865999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7021909501273194
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.00095324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3894180722659497
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25059000000000003,0.001088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.2916719922817745
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27176,0.0032435000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4459810536736457
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24843,0.12847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.2759276572507665
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27496,0.16221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.469305994460324
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,7.6109e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.9433854159495683
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31348000000000004,0.011803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.750079969179969
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26161999999999996,0.00020045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.372070147555857
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31140999999999996,0.00037823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7349916481085854
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27098,0.00096895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.440295599356893
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32116999999999996,0.031906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.8061327175079556
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30121,0.029483999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.660643399351047
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28386,0.0004909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5341784860232743
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27425,0.0016672999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.46413077322328
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26675,0.01018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4094629432545016
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30072,0.045452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6570717677930875
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22741,0.0045341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.122711952458271
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24957,0.16727999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.2842371674060207
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27121999999999996,0.00044913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4420449699158935
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29281,0.11320999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5994154297860166
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27718000000000004,0.018815000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4854876721310832
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25083,0.0047575000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.2934213628407756
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24664,6.434899999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.262880268498218
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30841,0.006446899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.713124516121075
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29374,0.004287399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6061942407021443
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28439000000000003,0.024616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5380416793410685
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29399000000000003,0.00035478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.608016501701104
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28649,0.00023031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5533486717323264
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31933,0.0039078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7927208765556157
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26089,0.00032724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3667491454388965
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36046,0.045558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.092519256104395
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25756999999999997,0.00088687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3425495193727173
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25911999999999996,0.0024894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3538475375662644
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25828,2.9521e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.347724740609762
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31838,0.022415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7857962847595705
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2598,0.0017952999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.358804087483434
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43593999999999994,0.37746999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.6426962969101777
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32499,0.0027774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.833976865572054
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29698,0.0053991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.629810743248657
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24996,0.044505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.287079894564397
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24755,0.013971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.26951329853443
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28342,0.00094209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5309713066651063
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3202,0.0018765999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.799062344831994
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29341,0.000396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6037888561835185
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27545,0.017782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4728776260182843
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28936,0.012293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.574268228000378
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28939000000000004,0.0021546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5744868993202537
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26114,0.0041666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3685714064378556
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25861999999999996,0.0022135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.350203015568346
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31093000000000004,6.2028e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7314929069905842
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33989,0.00063397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.9425836211100265
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28085,0.0023680999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5122384635958044
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3088,2.0172e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7159672432794513
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2821,0.00012124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5213497685906012
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2623,0.0033954000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3770266974730268
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24189000000000002,8.1013e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.228257309517992
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30099000000000004,0.059447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6590398096719636
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29991,0.048320999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6511676421564596
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21422,0.076708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.0265694621531796
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31106999999999996,0.00013336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.732513373150001
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31423,0.13357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.7555467521768464
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35858,0.24308000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.078815853392221
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32683,0.40501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.847388706524394
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26755,0.0020715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4152941784511714
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27865999999999996,0.013627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.4962754572449213
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27638,0.00048801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.479656436934413
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23310999999999998,0.013238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.1642595032345424
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29275,0.00053878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5989780871462655
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28356,0.0041611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.531991772824523
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26493,0.0031037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3961968831820784
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28757,0.015053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.56122083924783
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28295,0.009537299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5275454559870623
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25333,0.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3116439728303684
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26724000000000003,0.00032446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.413034574812462
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25518,0.0055263000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.325128704222667
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24775999999999998,0.00070343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.2710439977735555
