,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009515000000000001,0,0,0,0,0,0,1.3583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,39.630879644677414
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46629,0,0,0,0,0,0,0.78357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,23.648750943524156
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77455,0,0,0,0,0,0,0.68625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20.94247014176293
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20790999999999998,0,0,0,0,0,0,1.0789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31.861306524947768
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014528999999999999,0,0,0,0,0,0,1.6102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46.63573100065415
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6682,0,0,0,0,0,0,0.8113199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24.420424723311196
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6436,0,0,0,0,0,0,0.36796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12.09144140776597
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8605e-06,0,0,0,0,0,0,1.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,39.2332243275259
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6405e-09,0,0,0,0,0,0,1.4374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,41.83049751787217
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024895,0,0,0,0,0,0,1.2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,37.38398806245066
