,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052693,0,0,0,0,0.8683200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.597546267820226
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32744,0,0,0,0,0.89759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16.064355845807334
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053769000000000004,0,0,0,0,0.82926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14.974601883939927
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.967e-07,0,0,0,0,0.87475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.7000944600463
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1765999999999998e-09,0,0,0,0,0.87802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.752245717990194
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7897e-08,0,0,0,0,0.86869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.603447174682378
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049463,0,0,0,0,0.90135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16.124321818244354
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3421e-05,0,0,0,0,0.8669899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.576334899910323
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10432000000000001,0,0,0,0,0.85772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.428493260417996
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4805e-07,0,0,0,0,0.73954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13.543711711852355
