,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.784e-10,0,1.046,0,0,0,0,0.80157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.837434415284754
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0717e-07,0,1.1319,0,0,0,0,0.9408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.514996579236055
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6812999999999998e-07,0,1.1005,0,0,0,0,0.77654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.715626033731205
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9033e-10,0,1.0149,0,0,0,0,0.83134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.98230998535464
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2099e-05,0,1.2001,0,0,0,0,0.87436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.19166662036998
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9188000000000003e-09,0,1.2507,0,0,0,0,0.7337199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.50724269780939
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5057e-10,0,1.0883,0,0,0,0,0.75703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.6206807071587
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5064e-07,0,1.185,0,0,0,0,0.7179800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.430644059149664
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5648000000000003e-07,0,1.227,0,0,0,0,0.78667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.7649236328178
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9551e-07,0,1.2275,0,0,0,0,0.92863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.455771329395596
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5809e-09,0,1.0092,0,0,0,0,0.77363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.70146453192054
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3168e-08,0,1.385,0,0,0,0,0.91769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.40253186898026
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.082799999999999e-10,0,1.1022,0,0,0,0,0.8937700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.28612529739572
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.131499999999999e-10,0,1.2866,0,0,0,0,0.93966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.50944877440301
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7811e-07,0,1.1441,0,0,0,0,0.9446200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.533586591922216
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6049e-08,0,1.0358,0,0,0,0,0.7299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.48865268512323
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5933e-10,0,1.0454,0,0,0,0,0.65705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.134128490309955
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0649000000000004e-10,0,1.1844,0,0,0,0,0.83585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.00425787991343
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.072000000000001e-09,0,1.2154,0,0,0,0,0.7065600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.37506868090989
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146e-10,0,1.0889,0,0,0,0,0.89599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.29692891733375
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3862e-06,0,1.1936,0,0,0,0,0.84101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.02936899652615
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4715e-10,0,0.9888899999999999,0,0,0,0,0.8065100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.86147490289461
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012849000000000001,0,1.1754,0,0,0,0,0.82896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.9707277261418
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047243,0,1.1958,0,0,0,0,0.75994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.63484220896936
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.167799999999999e-07,0,1.0516,0,0,0,0,0.7308600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.493324520772106
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0895e-05,0,1.0855,0,0,0,0,0.63313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.017721918725414
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065826,0,1.123,0,0,0,0,0.75978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.63406356969455
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7878e-06,0,1.2955,0,0,0,0,1.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.94519477857022
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.812999999999999e-10,0,1.109,0,0,0,0,0.9282799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.45406805598194
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037781,0,1.0056,0,0,0,0,0.78817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41.77222337601917
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.483e-10,0,1.0383,0,0,0,0,0.9260200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.44306977622521
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3316999999999994e-08,0,1.3115,0,0,0,0,0.9993799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,42.80007588372695
