,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3619999999999998e-10,0,1.0481,0,0.02323,1.0355e-05,0,0.81288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.418431326328616
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0515e-08,0,1.1319,0,2.4268000000000002e-05,2.4145e-06,0,0.94078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.565962740059035
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4737999999999999e-10,0,1.1046,0,0.011878,7.0498e-06,0,0.78298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.12444596849918
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.131900000000001e-10,0,1.0546,0,0.17332999999999998,0.00046110000000000004,0,0.71985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,43.7624083601115
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7095e-05,0,1.2003,0,0.0016507000000000002,5.5073e-07,0,0.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.26752393467913
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0905e-09,0,1.2263,0,0.055575,4.5717e-08,0,0.73221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.3158529913826
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8016000000000004e-10,0,1.0987,0,0.027556999999999998,2.9276e-05,0,0.73028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.10705813430802
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0061e-08,0,1.1124,0,0.32871,7.4148e-07,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,45.49672386971538
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4187e-07,0,1.217,0,0.10075,0.0010086000000000001,0,0.72139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.800076823202396
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0418e-08,0,1.2194,0,4.1220999999999996e-08,0.05776799999999999,0,0.89341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,42.57604111701927
