,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026848,0,1.0698,0,0.35434,0.0032220999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.773312656260416
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1684e-09,0,1.1815,0,0.007043000000000001,0.047695999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,33.94181736144227
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8523000000000001e-09,0,0.8831700000000001,0,0.43343000000000004,0.0018158000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.833353214313554
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2992000000000001e-07,0,1.2581,0,0.37588,0.19984000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.76631995580708
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026224,0,1.1911,0,0.2337,0.04387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.485225703318356
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6263e-08,0,0.8223299999999999,0,0.44006000000000006,0.21691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,39.9704673698169
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070743,0,1.185,0,0.22959000000000002,0.012197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.29595346152198
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5618e-07,0,1.2284,0,0.44433999999999996,5.9663e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.63469803758225
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023573,0,1.0344,0,0.68875,0.0071119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,41.61558069566163
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2161e-08,0,1.0859,0,1.4213e-07,0.43637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,35.76782651518902
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3827e-09,0,1.227,0,0.19752999999999998,0.086367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.24130201161613
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8278000000000003e-05,0,1.1695,0,1.7839e-05,0.18450999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,34.51332678500549
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4994e-07,0,0.77945,0,0.8806200000000001,1.379e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,43.98989399191053
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9744e-08,0,0.84391,0,0.31444,0.37219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,39.253096764440684
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5967e-09,0,1.1611,0,0.082195,0.37415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.34022903292201
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012450999999999999,0,0.6785100000000001,0,0.72034,0.0060867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,42.29282485092335
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5202e-10,0,1.1245,0,0.11647,0.00040973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,35.01318502843843
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7777e-07,0,1.1789,0,0.32709,0.21928000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.37613536066592
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.705399999999999e-07,0,1.0405,0,0.37414000000000003,0.18606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.88011084633168
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0883e-09,0,1.2433,0,0.44688999999999995,0.00010024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,38.6502438318448
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017238,0,1.3219,0,0.36849,0.042362000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.88752096456923
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5485e-05,0,1.0658,0,0.46878000000000003,6.9858e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,39.05950181834984
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015765,0,0.9446200000000001,0,0.71063,0.30767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,43.351892717088454
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012624,0,1.0625,0,0.29079,0.15492999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.76931284311276
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14923,0,1.2467,0,0.26495,0.0094904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.62808765795652
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042418,0,0.9373100000000001,0,0.27457,6.8306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,36.974607523257006
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14699,0,1.0275,0,0.25314000000000003,0.20172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,37.59321347180926
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9405e-05,0,1.1342,0,0.061346000000000005,0.056935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,34.643832124876376
