,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097847,0,0.76669,0,0,0,0,0,0,0.46968999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.42174319221864
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.248600000000001e-11,0,0.8704299999999999,0,0,0,0,0,0,0.63085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.91186820561934
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4856e-08,0,1.2444,0,0,0,0,0,0,0.38753000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,32.43677361865492
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8581e-10,0,0.73487,0,0,0,0,0,0,0.84409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,34.938357971558084
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014493,0,0.83934,0,0,0,0,0,0,0.57895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.750816206055845
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0336e-09,0,0.96947,0,0,0,0,0,0,0.60925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.68970212123671
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9154999999999997e-09,0,1.0801,0,0,0,0,0,0,0.43846999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,32.864747901509155
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2381e-08,0,1.4044,0,0,0,0,0,0,0.29629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,31.85625510298202
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032986,0,0.8938799999999999,0,0,0,0,0,0,0.6388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.91064768864887
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1356e-05,0,1.1467,0,0,0,0,0,0,0.62592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.50972721409515
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.574e-09,0,0.8453799999999999,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,32.92457234889073
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1462e-09,0,0.94283,0,0,0,0,0,0,0.75935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,34.31695928615892
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4556e-05,0,1.1228,0,0,0,0,0,0,0.29946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,32.25885825229812
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7289e-05,0,0.8287700000000001,0,0,0,0,0,0,0.6585300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,34.0784515485793
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7850000000000004e-10,0,1.159,0,0,0,0,0,0,0.028832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,31.144314856319063
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3931999999999997e-05,0,1.2079,0,0,0,0,0,0,0.18722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,31.699514134033034
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6561000000000001e-06,0,0.62229,0,0,0,0,0,0,0.47881999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.65770708848436
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2303e-06,0,1.1779,0,0,0,0,0,0,0.5968600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.35220780985753
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.881e-05,0,1.1482,0,0,0,0,0,0,0.5867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.35339520624134
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0983e-08,0,1.1306,0,0,0,0,0,0,0.7333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.95436249402488
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7902e-09,0,0.6189600000000001,0,0,0,0,0,0,0.65469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,34.35402448813757
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5722e-09,0,1.1748,0,0,0,0,0,0,0.2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,32.018639365055144
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016124,0,1.168,0,0,0,0,0,0,0.15673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,31.63487413011436
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018368,0,1.0419,0,0,0,0,0,0,0.68823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.89998744396606
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031733,0,0.80532,0,0,0,0,0,0,0.55193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.69167756139916
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032373,0,0.9845299999999999,0,0,0,0,0,0,0.49093000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.20348021271268
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019222999999999998,0,1.3337,0,0,0,0,0,0,0.5230100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,32.84590365980811
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003834,0,1.145,0,0,0,0,0,0,0.5327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.145444343961714
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125299999999998e-07,0,0.97457,0,0,0,0,0,0,0.54885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.44508077642709
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017911,0,0.94716,0,0,0,0,0,0,0.6156699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.74586105535802
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095409,0,1.1434,0,0,0,0,0,0,0.0043026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,31.069452333040804
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3573e-10,0,0.8744799999999999,0,0,0,0,0,0,0.5333399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.52274640096548
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030788,0,1.3926,0,0,0,0,0,0,3.1177e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,30.70728237246537
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1177e-08,0,0.79459,0,0,0,0,0,0,0.88469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,35.01530191653148
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6995999999999996e-07,0,1.3062,0,0,0,0,0,0,0.6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.51128354529713
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3813e-08,0,0.86201,0,0,0,0,0,0,1.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,35.38249507069231
