,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8273e-12,0,1.046,0,0,6.595699999999999e-05,2.2155000000000002e-06,0.80169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.29813865850133
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6556999999999996e-07,0,1.1319,0,0,9.3728e-07,2.3239000000000002e-05,0.94078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.90583624691866
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6167e-10,0,1.1006,0,0,1.6579000000000002e-05,6.5531e-05,0.77637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.13193375282431
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2625e-11,0,1.015,0,0,0.00011346,1.57e-09,0.8318399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.47002636798818
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6233e-05,0,1.2001,0,0,4.788e-07,1.1196e-08,0.8744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.527240291944636
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2035e-10,0,1.2507,0,0,1.2018e-08,7.939100000000001e-07,0.7337199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,39.80176800333261
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.836500000000001e-11,0,1.0883,0,0,1.5458e-05,1.155e-05,0.75697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.046353848882674
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1975e-08,0,1.1849,0,0,1.6992e-07,2.6051e-05,0.71811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,39.779461873745916
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0853000000000003e-07,0,1.2281,0,0,0.0018137000000000001,6.8888e-08,0.7852899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.077473622842234
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.246499999999999e-08,0,1.2197,0,0,0.05626799999999999,4.3011e-06,0.8944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,40.810542178770014
