,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6896e-09,0,0,1.2205,0,0.14503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4.0622302561258525
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013447,0,0,0.9939399999999999,0,0.013366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.9624005234270325
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031702,0,0,0.1271,0,0.86735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,15.58207632280323
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.042600000000001e-09,0,0,0.46043,0,0.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,15.544597590030092
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0927e-09,0,0,1.2368,0,0.19393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4.842106865745583
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0211e-09,0,0,0.0011698000000000001,0,0.8692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,15.611580857113998
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1169e-05,0,0,0.14046,0,0.9001600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,16.105343225903916
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010961,0,0,0.44364,0,1.0897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,19.128202379018916
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11835999999999999,0,0,0.028442000000000002,0,0.91925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,16.409798123197177
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1816e-07,0,0,0.0059261,0,0.73657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,13.496344972985879
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099879,0,0,0.27694,0,0.62554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,11.725594462432126
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18863,0,0,0.22946999999999998,0,0.86126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,15.48495058553157
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012223,0,0,0.44385,0,1.1079999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,19.420058042741637
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20706,0,0,0.8102,0,0.1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4.688523803360347
