,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2133000000000004e-07,0,0,0.00016318,0,0,3.6097e-05,1.7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.642054038731757
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.259e-07,0,0,0.010762,0,0,0.0028131000000000002,1.7534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.737769799039736
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0069000000000001e-09,0,0,0.027183,0,0,0.033516000000000004,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,17.623676881501385
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018086,0,0,1.741e-09,0,0,4.4389e-09,1.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.47266963129954
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3761e-05,0,0,1.954e-09,0,0,2.5237e-08,1.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.333488439281616
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.940199999999999e-11,0,0,1.4055000000000002e-09,0,0,3.5873e-09,1.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.509654973171806
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1078e-10,0,0,0.0023139,0,0,5.7558e-06,1.7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.616877831358277
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011347000000000002,0,0,0.00010791,0,0,0.0035534,1.6668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.336917601427448
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0271000000000002e-10,0,0,1.4634e-06,0,0,1.7618e-06,1.7256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.524303352066077
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6159e-06,0,0,0.010195000000000001,0,0,0.002015,1.6744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.331123041113518
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015095999999999998,0,0,0.050845999999999995,0,0,5.4227e-05,1.5774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,15.804547679417105
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3050999999999999e-08,0,0,0.020051,0,0,0.0033266999999999997,1.8297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,17.123365624956655
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6498e-09,0,0,1.5487e-06,0,0,0.00011232,1.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.271400099987726
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7537e-09,0,0,5.5961000000000005e-06,0,0,0.0013013,1.7501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.679670132635202
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.615899999999999e-09,0,0,6.0774e-07,0,0,7.4356e-09,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.31694185966937
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3337e-10,0,0,1.2949e-06,0,0,0.0010446,1.7359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.60342756693172
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055574,0,0,0.010345,0,0,0.00030904,1.7659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.72896793130293
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7416000000000003e-10,0,0,1.3409e-08,0,0,1.6573e-08,1.7068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.432764705891206
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8747e-07,0,0,4.1227e-11,0,0,7.918200000000001e-10,1.7658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.719887499634417
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6755e-11,0,0,4.675e-05,0,0,6.2068e-07,1.6116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,15.969491136423695
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3144e-08,0,0,8.9035e-06,0,0,2.6542e-08,1.6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.113522880436484
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.313500000000001e-07,0,0,9.8051e-08,0,0,2.1219999999999997e-08,1.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16.608931971041713
