,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7461e-08,0,0,0,0.28007,9.5838e-10,0,1.8917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,17.086404652011883
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6475e-08,0,0,0,0.29868,0.094074,0,1.6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,17.60373106539118
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.991200000000001e-10,0,0,0,0.12205999999999999,0.0016390999999999999,0,1.8748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,17.00909752926185
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024735,0,0,0,0.4739,0.004279,0,1.5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,15.80991432383641
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2421e-07,0,0,0,0.0023309999999999997,0.12043,0,1.6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,17.996793247586616
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0034999999999998e-10,0,0,0,3.4187e-09,1.6212e-08,0,1.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.373280571845466
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.627600000000001e-09,0,0,0,0.36057,0.12744,0,1.5217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,17.730096804911774
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014768,0,0,0,0.47891000000000006,0.043875,0,1.5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.56257630656469
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.199400000000001e-10,0,0,0,0.0025388000000000003,0.012816999999999999,0,1.7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.575273405217086
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0633e-06,0,0,0,1.8395e-05,0.10819000000000001,0,1.5968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,17.619785947284576
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080457,0,0,0,0.35031,0.054387,0,1.4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.177563236298436
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9112e-08,0,0,0,8.653799999999999e-05,0.14171,0,1.7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,18.61659701999875
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9796e-09,0,0,0,0.21391,2.119e-07,0,1.8531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.923073366286363
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0761e-08,0,0,0,0.00060595,0.35775,0,1.5743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,21.514349466680923
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2796000000000004e-11,0,0,0,0.41983000000000004,1.1637e-06,0,1.4078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,15.278668274586106
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5969e-09,0,0,0,0.39681,0.00039285,0,1.6534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.214286217660486
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020611,0,0,0,0.45843,0.007277500000000001,0,1.5941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.113563583379012
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1304e-11,0,0,0,1.3874e-07,0.00069181,0,1.7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.326823660419972
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3647e-07,0,0,0,0.42835,0.22774,0,1.4345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,19.01450061080063
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8752999999999995e-10,0,0,0,0.24627,0.0068212,0,1.5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,15.861131525540461
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5378e-08,0,0,0,8.6646e-09,0.0014855,0,1.6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.092389158423767
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9234e-06,0,0,0,0.12408,0.00030019,0,1.8617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.938368596070983
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046256,0,0,0,0.36130999999999996,0.017127,0,1.6668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.52340094270367
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.465600000000001e-08,0,0,0,0.4477,0.1993,0,1.5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,18.836034001530813
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7049e-11,0,0,0,0.42177,4.1498e-08,0,1.5212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,15.710876191218398
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.844e-05,0,0,0,8.2768e-09,3.5015000000000004e-09,0,1.7392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.436481239043395
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7675999999999998e-06,0,0,0,0.07119400000000001,0.42508999999999997,0,1.2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,21.367656122703092
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4822e-09,0,0,0,0.42176,1.0764e-05,0,1.5922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,15.981361691657598
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4481e-09,0,0,0,0.51113,0.052279,0,1.5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.53211075376779
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034517,0,0,0,0.18850999999999998,0.25364000000000003,0,1.7024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,20.388177985136142
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.348499999999999e-07,0,0,0,0.26802,2.3341e-05,0,1.8261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.83403704669868
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1655e-07,0,0,0,0.38576,0.07778600000000001,0,1.4445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,16.65050713358581
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8495e-12,0,0,0,0.6069399999999999,0.016583,0,1.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,14.325411486677982
