,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13066,0.10987000000000001,0.97139,0.00068178,0,0,0.007437300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.243211111760786
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6688e-08,0.0057973,1.1545,0.019928,0,0,0.068365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,32.7061873974756
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.702e-09,0.48193,0.6169399999999999,0.06004299999999999,0,0,0.0042744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.60299929339493
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6179000000000002e-09,0.095873,1.1185,0.0085159,0,0,0.00042227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.862306912469695
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020713,0.0023679,1.1288,0.021594,0,0,0.14040999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,34.742083695602346
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2774e-10,0.20074,1.1939,0.12951,0,0,0.039751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.86071725159208
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8431e-07,0.0077345,1.1843,6.3054e-07,0,0,0.092699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,33.34522538040746
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9049e-08,7.3787e-05,1.3449,0.033101,0,0,0.0019002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.617416122725906
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057166,0.05022,1.1054,0.20203,0,0,0.0087527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.110508003654516
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2193e-06,0.16973,1.0386,0.057830999999999994,0,0,0.11147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,34.051259231197704
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6494999999999998e-10,0.0029621,1.1526,3.7828000000000004e-05,0,0,0.022580000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.435395266710607
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5033e-05,0.0022384,1.1784,0.00094482,0,0,0.0012199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.808821598233198
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9682e-05,0.64663,0.8910600000000001,0.004535,0,0,8.212e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.138095654155205
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.046e-08,0.017244,1.0247,0.034852,0,0,1.4702000000000001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.969461677934603
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0318000000000001e-10,0.31695999999999996,1.1207,2.0065e-06,0,0,0.042881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,32.0402229528358
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.562e-05,0.047106,1.0236,0.065458,0,0,0.25389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,38.03063177069745
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9716999999999998e-10,0.038952,0.95362,0.00034129,0,0,0.086151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,33.45453384730728
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8451e-07,7.168e-06,1.0313,0.015506,0,0,0.013097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.324917919890172
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8426e-06,0.043905,0.9386399999999999,0.059967999999999994,0,0,0.09045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,33.59300349615344
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8308000000000005e-09,0.068923,1.0777,0.07854,0,0,0.17528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,35.77630056596693
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000242,0.00015387,1.1082,0.050087,0,0,6.6675e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.86542949492924
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6187e-09,0.1023,1.1678,0.1715,0,0,0.13751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,34.6121753921289
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009152,0.10883,1.1813,0.20519,0,0,0.023287000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.418801641603576
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081954,0.00017107,1.0817,0.23704,0,0,0.004433100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.020326201200906
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58941,0.13251,0.81814,0.31868,0,0,2.7149e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.229987607596993
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019747,0.00030421,0.99221,0.042733,0,0,0.012365000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.35394102269106
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024358,0.72175,0.010304,0.075317,0,0,0.7135100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,52.09177276860074
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.243500000000001e-10,0.8257700000000001,0.4977,8.0439e-05,0,0,0.16271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,36.159410946875475
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1775e-07,6.5663999999999995e-06,0.99971,0.0035347,0,0,0.034554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.96150013522333
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4272e-06,0.031369,1.2039,0.059289,0,0,0.044282999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.97411136813608
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035503999999999996,0.00035415,1.1109,0.075462,0,0,0.12172999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,34.24524039145233
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4221e-10,0.3098,1.1873,0.00012146,0,0,0.034772000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.730598040137437
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014054,0.30974,1.0097,0.027413999999999997,0,0,0.0042211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.105381508485845
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.427899999999999e-09,2.2496999999999998e-09,1.1553,0.00013058,0,0,0.00099435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.83172947895015
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9393e-09,0.22121,0.92695,0.074739,0,0,0.12295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,34.51153242380189
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2785e-10,0.1903,1.2628,0.00054422,0,0,0.41918999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,42.32514661192612
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050408,0.11953,1.0709,0.0080003,0,0,0.0039587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.020776648106846
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2539e-10,0.33393,1.1144,9.595299999999999e-07,0,0,0.080845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,33.1038864786899
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10106,0.0017194000000000003,1.0938,3.7016e-08,0,0,0.061208000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,32.58384150529436
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.164900000000001e-08,0.07497899999999999,1.2461,0.21420999999999998,0,0,0.057757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,32.295490057193994
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.606e-10,0.22793000000000002,1.1616,0.015987,0,0,0.17779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,35.740116074221845
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.865100000000001e-07,0.3182,0.9158799999999999,0.0076821,0,0,0.0010918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,31.136875439992714
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0997999999999999e-09,0.12586,1.1466,0.00033602,0,0,0.0052606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,30.961355498778925
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5566e-10,0.0025921,1.0321,0.0024265999999999997,0,0,0.14187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,34.904835200525994
